No.	question	answer	option2	option3	option4	explanation	datail / background
文型	「A tall boy came here yesterday.」の文型として正しいものはどれですか？	第1文型 [SV]	第2文型 [SVC]	第3文型 [SVO]	第4文型 [SVOO]	修飾語（M）を除くと主語（S）と動詞（V）だけが残るからです。	「here」（場所）や「yesterday」（時）は動詞を詳しく説明する修飾語（M）であり、文を組み立てる主要要素（S,V,O,C）には含まれません。
文型	「I gave a book ( ) him.」の空所に入る適切な前置詞はどれですか？	to	for	of	with	giveを用いた文を書き換える際、相手に直接届く動作を表すのはtoだからです。	相手に直接手渡したり伝えたりする動作（give, tell, showなど）を第3文型にする際は、前置詞にtoを使います。
文型	「He bought a car ( ) me.」の空所に入る適切な前置詞はどれですか？	for	to	of	at	buyは「相手のために準備する」という利益を表す動詞なのでforを用います。	相手のために何かを準備・製造する動作（buy, make, cookなど）を第3文型にする際は、前置詞にforを使います。
文型	「A girl asked the way ( ) me.」の空所に入る適切な前置詞はどれですか？	of	to	for	by	askを第3文型に書き換える際は、間接目的語の前にofを置くルールがあるからです。	askは「尋ねる・頼む」という意味で、書き換え時にtoやforではなくofを使う代表的な動詞です。
文型	「He is a teacher.」の文型として正しいものはどれですか？	第2文型 [SVC]	第1文型 [SV]	第3文型 [SVO]	第5文型 [SVOC]	主語（He）と補語（teacher）が「イコールの関係」で結ばれるからです。	第2文型（SVC）は「S=C」の関係が成立するのが最大の特徴です。「彼＝先生」という説明になっているので補語（C）と判断します。
文型	「The song sounds good.」の文型として正しいものはどれですか？	第2文型 [SVC]	第1文型 [SV]	第3文型 [SVO]	第5文型 [SVOC]	soundsが主語の状態を説明する補語（good）をとり、S=Cが成立するからです。	soundやlook、feelなどの感覚を表す動詞は、主語がどのような状態であるかを述べる第2文型をよく作ります。
文型	「I will make her happy.」の文構造から判断できる正しい意味はどれですか？	私は彼女を幸せにするだろう	私は彼女に幸せを作ってあげるだろう	私は彼女が幸せだと気づくだろう	私は彼女に幸せを教えるだろう	「make O C」で「OをCの状態にする」という第5文型（O=C）になるからです。	第5文型（SVOC）では、目的語（her）と補語（happy）の間に「彼女＝幸せ」という主従関係が成り立ちます。
文型	「She made me dinner.」の文型として正しいものはどれですか？	第4文型 [SVOO]	第2文型 [SVC]	第3文型 [SVO]	第5文型 [SVOC]	me（私）とdinner（夕食）がイコールではないため、2つの目的語を持つ形だからです。	第4文型（SVOO）は「誰に」「何を」を与える構造です。この文は「私＝夕食」ではないため、目的語が2つ並んでいると判断します。
文型	「I will keep him a seat.」が第4文型[SVOO]である理由として正しいものはどれですか？	himとa seatがイコール関係ではないから	himが主語とイコール関係だから	席を保つという意味だから	文末に修飾語がないから	動詞の後ろにある2つの名詞に「イコール関係」が成り立たず、授与を表しているからです。	keepが第4文型をとると「（人）に（物）を取っておく」という意味になります。彼≠席なので、第5文型とは区別します。
文型	「We keep the door open.」の文型として正しいものはどれですか？	第5文型 [SVOC]	第2文型 [SVC]	第3文型 [SVO]	第4文型 [SVOO]	door = openという「目的語＝補語」の状態を保つ主述関係があるからです。	keep O Cで「OをCの状態のままにしておく」という意味になります。ドアが開いているという状態を維持していることを表します。
文型	「I saw a boy ( ) the street.」で「渡るのを見た」とするのに適切な語はどれですか？	cross	to cross	crossed	crosses	知覚動詞seeの補語に不定詞を置く場合、原形不定詞を用いるルールがあるからです。	seeやhearなどの知覚動詞を使った第5文型では、補語（C）の部分にtoのない「原形不定詞」を置くのが特徴です。
文型	「I heard the singer ( ).」で「歌っている最中」であることを強調する語はどれですか？	singing	to sing	sung	sings	現在分詞（ing形）を使うことで、動作の進行中（〜しているところ）を表現できるからです。	知覚動詞の補語にingを使うと、動作の一部がちょうど進行している場面を強調したニュアンスになります。
文型	「She had her hair ( ).」で「髪を切ってもらった」とするのに適切な語はどれですか？	cut	cutting	to cut	cuts	髪は自ら切るのではなく「切られる」側なので、受動の関係を表す過去分詞を用いるからです。	have O 過去分詞で「Oを〜してもらう（使役）」という意味になります。cutの過去分詞形は原形と同じcutである点も重要です。
文型	「He calls me Take.」の文型として正しいものはどれですか？	第5文型 [SVOC]	第2文型 [SVC]	第3文型 [SVO]	第4文型 [SVOO]	me = Takeという目的語を説明するイコール関係の主述構造があるからです。	call O Cで「OをCと呼ぶ」となります。「私＝タケ」という関係が成立しているため、Takeは補語（C）となります。
文型	「He left Japan.」の文型と意味の正しい組み合わせはどれですか？	第3文型：彼は日本を出発した	第1文型：彼は日本へ向かった	第2文型：彼は日本にいた	第5文型：彼は日本を離れるつもりだ	直接目的語を1つとって「〜を去る」という意味になる第3文型だからです。	leaveが場所を直接後ろに置く場合は「〜を去る」という意味の他動詞（第3文型）になります。
文型	「He left the window open.」の文型として正しいものはどれですか？	第5文型 [SVOC]	第2文型 [SVC]	第3文型 [SVO]	第4文型 [SVOO]	窓を「開いたまま」にするという「目的語＝補語」の状態を説明しているからです。	leave O Cは「OをCの状態のまま放置する」という第5文型です。窓がどういう状態か（open）を説明しています。
文型	「Tell me the truth.」の文型として正しいものはどれですか？	第4文型 [SVOO]	第2文型 [SVC]	第3文型 [SVO]	第5文型 [SVOC]	「私に」と「真実を」という2つの異なる目的語（O1, O2）を持っているからです。	命令文でも主語のYouが省略されているだけで、動詞以降の語順のルールは通常の肯定文と同じです。
文型	命令文「Be quiet.」において、本来省略されている主語は何ですか？	You	I	We	They	命令文は目の前の相手（あなた）に対して直接言うため、主語は常にYouが想定されるからです。	「You are quiet.」から主語が消え、動詞が原形のBeに変わることで命令文が作られます。
文型	「He got sick.」の文型として正しいものはどれですか？	第2文型 [SVC]	第1文型 [SV]	第3文型 [SVO]	第5文型 [SVOC]	彼の状態が「病気である」と説明する形容詞（補語）をとる第2文型だからです。	getの後ろに形容詞がくると「〜の状態になる」という第2文型（S=C）になります。名詞がくると「手に入れる」という第3文型です。
文型	「We found him friendly.」の文構造から判断できる正しい意味はどれですか？	私たちは彼が親しみやすいと分かった	私たちは彼に親切な人を見つけた	私たちは彼を親しげに呼んだ	私たちは彼と友達になった	「find O C」は「OがCだと分かる・気づく」という第5文型の意味になるからです。	him = friendly（彼＝親しみやすい）という状態に気づくことを表します。第4文型の「見つける」とは意味が異なります。
時制 1	パーティーに誘われ、その場で「参加します」と決めた際の表現として正しいものはどれですか？	I will join.	I am going to join.	I joined.	I join.	willはその場で決めた話し手の意志を表す助動詞だからです 。	以前から決まっていた予定ならbe going toを使いますが、今その場で決めたことにはwillを使います 。
時制 1	飛行機の時刻表のように「確定している予定」を述べる際、最も適切な時制はどれですか？	現在形	未来形	過去形	進行形	飛行機の出発など、時刻表で決まっている確実な未来の予定は現在形で表すルールがあるからです 。+1	未来のことでも「10時に出発します」と言い切るニュアンスで現在形（departsなど）を用います 。
時制 1	「太陽は西に沈む」という自然の法則を英語にする際、動詞はどの形にしますか？	sets	set	will set	is setting	過去・現在・未来にわたって変わらない「不変の真理」は常に現在形を使うからです 。	真理や諺（ことわざ）は時制の一致を受けず、常に現在形で表現するのが鉄則です 。+1
時制 1	授業中に寝てばかりいる人に対し、不満や驚きを込めて「いつも〜してばかり」と強調する形はどれですか？	is always sleeping	always sleeps	sleeps now	was sleeping	「be動詞 + always + ing」の形で、不快な習慣や反復動作を強調できるからです 。	単なる習慣（always sleeps）よりも「頻度が多すぎて困る」という話し手の感情が強く含まれます 。
時制 1	文中の空所に入る適切な形を選んでください。「I will start when my boss ( ).」	comes	will come	come	came	「〜する時」という時の副詞節の中では、未来のことでも現在形を用いるからです 。+2	副詞節内では未来予測のwillを使いません。主語がmy boss（三人称単数）なのでcomesになります 。+1
時制 1	文中の空所に入る適切な形を選んでください。「I know when my boss ( ).」	will come	comes	come	coming	このwhenは「いつ〜か」という名詞節（目的語）なので、未来のことは未来形を使うからです 。+1	副詞節のwhen（〜する時）と、名詞節のwhen（いつ〜か）では時制のルールが異なるため注意が必要です 。
時制 1	「もし明日雨が降ったら」という条件を表す空所に適切なのはどれですか？「if it ( ) tomorrow...」	rains	will rain	rain	is raining	「もし〜なら」という条件の副詞節内では、未来の内容でも現在形で表すからです 。	明日のことでもif節の中ではwillを使いません。主語itに合わせてsを付けた現在形にします 。+1
時制 1	「彼女は彼のことを知っている」という文として正しいものはどれですか？	She knows him.	She is knowing him.	She know him.	She was knowing him.	knowは「知っている」という状態を表し、一瞬で動作を変えられないため進行形にできないからです 。+2	進行形（ing）は「すぐにやめられる動作」に使います。知識や愛着の状態を表す動詞は通常進行形にしません 。+1
時制 1	haveを進行形（ing）にして「（今）食べている」という意味で正しく使っているのはどれですか？	I am having dinner.	I am having a car.	I have dinner.	I was having a car.	haveが「食べる」という動作を表す場合は、動作の進行中としてing形にできるからです 。	「持っている（所有）」という意味のhaveは状態動詞なので進行形にできませんが、食事の動作なら可能です 。
時制 1	「明日の午後3時にテニスをしている最中だろう」という未来の動作を表す形はどれですか？	will be playing	is playing	will play	was playing	未来のある時点で継続している動作は、未来進行形（will be ing）で表すからです 。+1	単に「するつもり（will）」よりも、その瞬間に何をしているかを具体的に描写する際に使います 。
時制 1	近い未来の確実な予定として「明日、彼が来る」を表すのに使える進行形はどれですか？	is coming	come	came	has come	go, come, leaveなどの往来発着動詞は、現在進行形で確定した未来を表せるからです 。+1	すでに出発の準備が整っているような、確実性の高い近い未来の予定に対してよく使われます 。+1
時制 1	「昨日の正午、私は部屋を掃除していました」という過去の特定の瞬間の動作を表すのはどれですか？	I was cleaning	I cleaned	I am cleaning	I will be cleaning	過去の特定の時点で進行していた動作を表現するには、過去進行形（was/were ing）を使うからです 。+2	過去の単なる事実（掃除した）ではなく、その瞬間の様子を詳しく伝えるときに適しています 。+1
時制 1	英語の三単現のルールに基づき、「彼は英語を話します」として正しいものはどれですか？	He speaks English.	He speak English.	He is speak English.	He does speak English.	主語が三人称単数（IとYou以外の一人・一つ）の現在形の文では、動詞にsを付けるからです 。+1	会話で日本人が最も忘れやすいルールの一つです。He, She, Itなどが主語の現在はsを忘れないようにしましょう 。
時制 1	「彼女は日本に住んでいません」という三単現の否定文として正しいものはどれですか？	She doesn't live.	She doesn't lives.	She not lives.	She don't live.	三人称単数の否定文ではdoesn'tを使い、動詞はsを取って原形に戻すルールがあるからです 。	助動詞doesn'tがすでに三単現の役割を担っているため、後ろの動詞は元の形（live）に戻します 。
時制 1	「私は昨日テニスをしませんでした」という過去の否定文として正しいものはどれですか？	I did not play.	I did not played.	I don't played.	I not played.	過去の否定文ではdid not（didn't）を使い、後ろの動詞は必ず原形にするからです 。+1	didで過去であることを示しているので、動詞をplayedのままにせずplayに戻すのがポイントです 。
時制 1	「先週、公園に行きましたか？」という過去の疑問文として正しいものはどれですか？	Did you go?	Did you went?	Do you went?	Were you go?	過去の疑問文は文頭にDidを置き、メインの動詞は原形に戻す決まりだからです 。	過去の出来事を質問する際は、主語に関係なくDidを使います。wentを原形のgoに戻し忘れないようにします 。+1
時制 1	根拠や確信はないが、単に「今夜は雨が降るだろう」と予測するのに最も自然なのはどれですか？	It will rain.	It is going to rain.	It rains.	It is raining.	単純な未来の予測やその場で思った予測にはwillを用いるのが一般的だからです 。+2	「〜でしょう」という単純未来の予測では、主語の意志とは関係なくwillが使われます 。
時制 1	暗い雲を見て「（今にも）雨が降りそうだ」と、状況から確信して言う表現はどれですか？	It is going to rain.	It will rain.	It rains.	It is raining.	目の前の状況（黒い雲など）から、近い未来に起こることを確信して予測する際はbe going toを使うからです 。+1	be going toは「〜に向かっている」というニュアンスを含み、何かの予兆がある際の予測に適しています 。
時制 1	未来進行形の疑問文として正しいのはどれですか？「明日、彼女は勉強しているでしょうか？」	Will she be studying?	Is she be studying?	Will she studying?	Does she study?	助動詞willを主語の前に出し、その後に「be + 動詞のing形」を続ける語順になるからです 。	明日勉強するか（Will she study?）ではなく、その瞬間に勉強中かどうかを尋ねる形です 。
時制 1	主語が I（私）のとき、現在形と過去形のbe動詞の正しい組み合わせはどれですか？	am / was	am / were	is / was	are / were	Iは一人称単数なので、現在はam、過去は固有の活用形であるwasを用いるからです 。+2	be動詞の過去形はamとisのときはwas、areのときはwereになると覚えると整理しやすいです 。+1
時制 2	「上司が来た時、私はすでに仕事を終えてしまっていた」とするのに適切な形はどれですか？	had already finished	have already finished	finished	will have finished	上司が来た「過去の時点」より前に動作が完了していたことを表すには、過去完了形を用いるからです 。	過去完了の完了は「（過去のある時点までに）〜してしまった」という状態を表します 。
時制 2	「私は2010年からずっと日本に住んでいる」の空所に適するのはどれですか？「I have lived in Japan ( ) 2010.」	since	for	during	ago	過去の「起算点（いつから）」を表す場合はsinceを用いるルールがあるからです 。	forは「〜の間」という期間を表す際に使い、sinceは「〜以来」という始まりの時点を指します 。
時制 2	「もしもう一度読むと、その本を3回読んだことになる」という未来の経験を表す形はどれですか？	will have read	have read	had read	will be reading	生まれた時から「未来のある時点」までの経験回数を表すには、未来完了形を用いるからです 。	未来完了形の経験は、未来の特定の時点を終点とした「線」のイメージで捉えると分かりやすいです 。
時制 2	「2日前に買ったペンを失くした」という文で、「買った」動作を表すのに最適な形はどれですか？	had bought	bought	have bought	was buying	「失くした（過去）」よりもさらに前に起きた動作（大過去）を表すには「had + 過去分詞」を用いるからです 。	過去形だけだと同時に起きた印象を与えますが、過去完了を使うことで時間の前後関係がはっきりします 。
時制 2	「パリに行く前、2年間日本に住んでいた」という過去までの継続を表す文はどれですか？	I had lived in Japan.	I have lived in Japan.	I lived in Japan.	I will have lived in Japan.	「パリに行った」という過去の時点まで、状態が続いていたことを表すには過去完了形が適しているからです 。+2	現在完了は「今まで」の継続ですが、過去完了は「過去のある時まで」の継続を表す点が異なります 。+1
時制 2	「私は以前パリに行ったことがある」という経験を正しく表しているのはどれですか？	I have been to Paris before.	I have gone to Paris before.	I went to Paris before.	I had been to Paris before.	完了形で「行ったことがある（経験）」を表す場合は、been toを用いる決まりがあるからです 。+1	gone toを使うと「行ってしまって（今ここにいない）」という完了・結果の意味になるため注意が必要です 。+1
時制 2	動作動詞studyを用いて「（今も）3時間ずっと勉強し続けている」と言う場合の正しい形は何ですか？	have been studying	have studied	had been studying	will be studying	「勉強する」などの動作が今も継続していることを強調する場合、現在完了進行形を用いるのが一般的だからです 。+1	状態動詞（knowなど）は現在完了形、動作動詞（playなど）は現在完了進行形を使って継続を表します 。
時制 2	「雨が1週間降り続いている（今も降っている）」の否定文「1週間降っていない」として正しいものはどれですか？	It has not been raining.	It has not rained.	It did not rain.	It will not be raining.	動作の継続を否定する場合、現在完了進行形のhave/hasの直後にnotを置くからです 。	rainは動作動詞なので、現在完了進行形を使って「ずっと〜していない」という継続の否定を表します 。
時制 2	「まだその仕事を終えていません」という完了の否定文の末尾に置く適切な語はどれですか？	yet	already	just	never	現在完了の完了・結果の否定文では、文末に「まだ」という意味のyetを置くルールがあるからです 。	肯定文ではalready（すでに）やjust（ちょうど）を使い、否定・疑問文ではyetを使います 。+1
時制 2	「弟は郵便局へ行ってしまった（結果、今ここにいない）」という状態を表すのはどれですか？	My brother has gone to the post office.	My brother has been to the post office.	My brother went to the post office.	My brother had gone to the post office.	「行ってしまった（片道で完了）」という現在の結果を表すには、have gone toを用いるからです 。	have been toは「行ってきた（往復して今ここにいる）」という完了、または経験を表します 。
時制 2	過去完了進行形「had been + ing」が表す意味として正しいものはどれですか？	過去のある時点まで動作が継続していた	今までずっと動作が継続している	未来のある時点まで動作が継続している	過去に何度も経験した	過去完了進行形は、過去のある時点を基準にしてそれまで動作が続いていたことを表すからです 。	動作動詞（runやstudyなど）の継続を過去の視点で表現する際に用いられます 。
時制 2	「（今までに）イングランドに行ったことがありますか？」という経験を尋ねる疑問文で使われる語はどれですか？	ever	yet	already	just	現在完了形の経験を尋ねる疑問文では、過去分詞の前に「今までに」を意味するeverを置くからです 。	everは経験の疑問文特有のキーワードであり、「これまでに一度でも」というニュアンスを添えます 。
時制 2	「あなたは来月でどのくらい日本に住んでいることになりますか？」という継続期間を尋ねる正しい形はどれですか？	How long will you have lived...?	How long have you lived...?	How long had you lived...?	How long will you live...?	未来の特定の時点までの継続期間を尋ねるには、未来完了形の疑問文を用いるからです 。	疑問詞How longを文頭に置き、その後に未来完了形の疑問文の語順を続けます 。
時制 2	過去完了形「線」のイメージに対し、過去形「点」のイメージとして正しい説明はどれですか？	過去のある一時点の事実のみを表す	過去から現在までの繋がりを表す	過去の2つの時点の結びつきを表す	未来の動作の完了を予測する	過去形はある特定の時点（点）での出来事のみを表し、現在の状況については言及しないからです 。+1	「昨日〜した」という事実は点ですが、「昨日まで2年間〜していた」という継続は線（完了形）になります 。
時制 2	「先生が来るまで、私はこの本を読み続けていた」という動作の継続を正しく表しているのはどれですか？	I had been reading this book.	I have been reading this book.	I will have been reading this book.	I had read this book.	過去のある時点（先生が来た時）まで動作が続いていたことを表すには、過去完了進行形を用いるからです 。	読む（read）という動作の継続には、完了形よりも進行形の要素を足した「had been ing」が適しています 。
時制 2	「（過去の）その時まで、ケンは彼女を信じていなかった」という状態の継続の否定はどれですか？	Ken hadn't believed her.	Ken haven't believed her.	Ken didn't believe her.	Ken won't have believed her.	過去の時点までの状態の継続を否定するには、過去完了形のhadの後ろにnotを置くからです 。	believe（信じる）は状態動詞なので、進行形にはせず過去完了形（had + 過去分詞）で継続を表します 。+1
時制 2	「来週の日曜日までにその本を読み終える（つもりです）」という未来の完了を表すのに適切な前置詞はどれですか？	by	until	for	since	未来完了形の完了において「〜までに（期限）」を表すにはbyを用いるからです 。	untilは「〜までずっと（継続）」を、byは「〜までには（完了）」を表す使い分けが重要です 。
時制 2	「彼は昨日その仕事を終えた」という過去の文から、現在の状況について推測できることはありますか？	現在のことは分からない	今は仕事をしていない	今も仕事をしている	これから仕事を始める	過去形は「過去の事実」を表す点のイメージであり、現在の状態とは切り離されているからです 。	「昨日の事実」を述べるのが過去形、「過去の結果、今の状況がこうだ」と繋げるのが現在完了形です 。
時制 2	現在完了形と過去完了形のどちらを使うか判断する際、基準となるのは何ですか？	動作の終点が「今」か「過去のある時」か	動作が一度きりか何度もか	動作がすぐに終わるかどうか	自分の意志があるかどうか	現在完了は終点が「現在（今まで）」、過去完了は終点が「過去のある時点」という違いがあるからです 。+1	どちらも「線」のイメージですが、その線がどこで終わっているかに注目すると見分けやすくなります 。
時制 2	接続詞beforeやafterが文中にあり、時間の前後関係が明らかな場合に許容される時制はどれですか？	過去形	未来完了形	現在進行形	現在完了進行形	時の前後関係が接続詞で明確な場合、過去完了形の代わりに過去形を用いて代用できるからです 。+1	日常会話では、複雑な完了形を避けて単純な過去形で事実を並べることがよくあります 。
助動詞	「It may rain tomorrow.」が許可（～してもよい）ではなく、推量（～かもしれない）の意味になる理由は何ですか？	主語が物（It）であり、天気を表す文脈だからです。	否定文だからです。	疑問文だからです。	過去形だからです。	天気や状態について述べる場合、mayは許可ではなく推量の意味になります。	許可のmayは通常、主語がYouの時に相手への許可を与える表現として使われます。
助動詞	「彼は真実を言わなければならなかった」と、義務の過去を表すのに適切な形はどれですか？	had to	musted	must have	was must	mustには過去形がないため、代わりにhave toの過去形であるhad toを用いるからです。	助動詞の後ろは必ず動詞の原形がくるため、主語が三人称単数でも動詞にsは付けません。
助動詞	許可を求める際、May I ～ ? よりも丁寧で控えめな印象を与える表現はどれですか？	Might I	Can I	Will I	Should I	mightはmayの過去形ですが、許可を求める際に使うとより丁寧な表現になるからです。	相手との立場や状況に応じて、Can I（対等）とMay I（目上）を使い分けるのが基本です。
助動詞	「彼はそこにいるはずだ」という、ほぼ確実な推測（当然の推量）を表す助動詞はどれですか？	should	can	would	may	shouldには「～すべきだ」という義務の他に「～するはずだ」という当然の推量の意味があるからです。	状況から判断してほぼ間違いないと確信している時に使われる表現です。
助動詞	「～する必要はない（～しなくてよい）」と、不必要を表す表現として正しいものはどれですか？	don't have to +1	mustn't +1	shouldn't +1	won't +1	mustn'tは「禁止」を表し、不必要を言いたい場合はdon't have toを用いるからです。 +1	日本語の「～してはいけない」と「～しなくてよい」の使い分けを意識することが大切です。 +1
助動詞	「そのドアはどうしても開きませんでした」と、過去の強い拒絶（意志）を表す形はどれですか？	wouldn't	shouldn't	couldn't	hadn't	would notは、人だけでなく物が主語の時でも「どうしても～しようとしなかった」という意味を表せるからです。	ドアが開こうとする「意志」を否定するような、強い拒絶のニュアンスが含まれます。
助動詞	「その物語は本当のはずがない」という、強い否定の推量を表すのに適切な助動詞はどれですか？	cannot	may not	mustn't	shouldn't	canの否定形であるcannotは「～のはずがない」という話し手の強い確信を伴う推量を表すからです。	肯定文のcanは「～することがある（可能性）」を表す点も合わせて覚えましょう。
助動詞	助動詞canを「～することができる（能力）」の意味でbe able toに書き換える際、beの部分はどう変化させますか？	主語に合わせてam, are, isに変える	常にbeのままにする	常にbeenにする	常にbeingにする	be able toはbe動詞を含んでいるため、通常のbe動詞の文と同じように主語に応じた形に変える必要があるからです。	助動詞の後ろ（will be able toなど）で使う場合は原形のbeに戻ります。
助動詞	依頼の表現「～してくれませんか」を、より丁寧な形にするのに適しているのはどれですか？	Could you	Can you	Will you	Shall you	過去形のcouldやwouldを使うことで、現在形よりも丁寧で謙虚な依頼のニュアンスになるからです。	Could youのほうがWould youよりもさらに丁寧な響きになります。
助動詞	「彼は有名な歌手にちがいない」と、確信に近い推量を表す際の動詞の形はどれですか？	must be	must is	must am	must are	mustなどの助動詞の後ろは、主語が誰であっても必ず動詞の原形（be）を置くルールがあるからです。	推量のmustには「義務（～しなければならない）」の意味もありますが、文脈で判断します。
助動詞	「以前はよく釣りに行ったものだ（今は行っていない）」と、過去の習慣を懐かしんで表す語はどれですか？	used to	would	will	use to	used toを使うと「以前はしていたが、今はしていない」という現在との対比が強調されるからです。	wouldも過去の習慣を表しますが、単に「昔よく～した」という回想のニュアンスが強くなります。
助動詞	「～したほうがよい」という忠告を表す際、命令に近い非常に強い響きを持つ表現はどれですか？	had better	should	may	could	had betterは「そうしないと困ったことになる」という威圧的なニュアンスを含む強い忠告だからです。	目上の人に対して使うと失礼になる場合があるため、通常はshouldを用いるのが無難です。
助動詞	助動詞のneedを用いた否定文「彼はそこへ行く必要はない」として正しいものはどれですか？	He needn't go there.	He don't need go there.	He needs not go there.	He needn't to go there.	助動詞needの否定形はneedn'tとなり、後ろにはtoのない動詞の原形がくるからです。	一般動詞のneed（doesn't need to）と混同しやすいポイントなので注意しましょう。
助動詞	「以前、ここに大きな木がありました（今はもうない）」という過去の状態を表す正しい形はどれですか？	There used to be	There would be	There was used to	There used be	used toは「よく～した（習慣）」だけでなく「以前は～だった（状態）」も表すことができるからです。	wouldには「過去の状態（～だった）」を表す使い方はありません。
助動詞	「明日雨が降るかもしれない」と言う際、mayよりもさらに可能性が低いことを表す語はどれですか？	might	can	should	will	mightはmayの過去形ですが「ひょっとしたら～かもしれない」と可能性を低く見積もる時に使うからです。	過去の意味はなく、現在の可能性を推測する表現として使われます。
助動詞	「あなたはその仕事をしないほうがよい」という、had betterの正しい否定形はどれですか？	had better not	had not better	hadn't better	didn't had better	had betterは2語で1つの助動詞のように扱い、その直後にnotを置くのが正しい語順だからです。	had not betterと間違えやすいため、セットで覚えるべき重要ポイントです。
助動詞	一般動詞needを使った「彼はお金を払う必要がある」という文で、正しい形はどれですか？	He needs to pay money.	He need to pay money.	He needs pay money.	He need pay money.	一般動詞としてのneedは主語が三人称単数の時にsが付き、後ろには不定詞（to do）を伴うからです。	助動詞need（He needn't pay）との活用の違いに注目しましょう。
助動詞	「彼は真実を言わなければならないだろう」と、義務の未来を表すのに適切な形はどれですか？	will have to	will must	must will	will had to	助動詞willの後ろには別の助動詞mustを置けないため、have toを組み合わせて使うからです。	will have toの疑問文はWill he have to ～ ?の形になります。
助動詞	「彼女はここへ来なければなりませんか？」という義務の疑問文に対する、正しい「いいえ」の答えはどれですか？	No, she doesn't have to.	No, she mustn't.	No, she shouldn't.	No, she doesn't must.	義務（～しなければならない）の疑問文に対し「～しなくてよい」と答える場合はdoesn't have toを使うからです。	No, she mustn'tと答えると「いいえ、来てはいけません」という強い禁止の意味になってしまいます。
助動詞	主語がHeのとき、義務の have to はどの形に変化しますか？	has to	haves to	have to	had to	have toのhaveは一般動詞と同じように活用するため、主語が三人称単数の場合はhasに変わるからです。	be able toと同様に、主語に応じた動詞の変化が必要です。
受動態	「その箱はケンによって開けられました」の( )に入る、過去の受動態を作る語はどれですか？「The box ( ) opened by Ken.」	was	is	were	been	主語が三人称単数のThe boxで、過去の動作を表す場合はwasを用いるからです。	受動態は「be動詞＋過去分詞」で作ります。過去のことならbe動詞を過去形（was/were）にします。
受動態	受動態の文で、動作を行う人（動作主）を表す( )に入る適切な語はどれですか？「The car was bought ( ) him.」	by	to	for	with	受動態で「〜によって」と動作主を示す際は、前置詞byを置くのが基本ルールだからです。	動作を受ける物を主語にするのが受動態の特徴です。byの後ろには動作をする人を置きます。
受動態	「その家は来年建てられるでしょう」の( )に入る語はどれですか？「The house will ( ) built next year.」	be	is	been	was	助動詞willの後ろに受動態を置く場合、be動詞は必ず原形のbeになるからです。	助動詞（will, must, canなど）が使われる文では、主語に関わらずbe動詞は原形に戻ります。
受動態	「そのケーキは今、切られているところです」の( )に入る語はどれですか？「The cake is ( ) cut now.」	being	been	be	was	「〜されているところだ」という進行中の受動態は「be動詞＋being＋過去分詞」で表すからです。	進行形と受動態を繋ぐ役目としてbeingが必要です。now（今）がある文でよく使われます。
受動態	「その仕事はすでに終えられてしまいました」の( )に入る語はどれですか？「The work has ( ) finished.」	been	being	be	was	「〜されてしまった」という完了の受動態は「have/has＋been＋過去分詞」の形になるからです。	完了形と受動態を合体させる際はbeenを使います。already（すでに）と一緒に使われることが多いです。
受動態	「その歌手は多くの人に知られています」の( )に入る前置詞はどれですか？「The singer is known ( ) many people.」	to	by	at	with	know（知っている）を受動態にする際、動作主の前にbyではなくtoを使う特殊なパターンだからです。	受動態にはby以外の前置詞を使う動詞があります。known to 〜 は特によく狙われる重要表現です。
