No.	question	answer	option2	option3	option4	explanation	datail / background
仮定法	「もし私があなたなら、そこへ行くだろう」のIfを省略した正しい語順はどれですか？	Were I you	Am I you	I were you	Was I you	仮定法のIfを省略すると、主語とbe動詞（were）が入れ替わる「倒置」という現象が起きるからです。	「If I were you」のIfを消すと「Were I you」となり、少し改まった響きの文になります。
仮定法	「もし（あの時）真実を知っていたら、怒らなかっただろう」のIfを省略した形はどれですか？	Had I known	Have I known	I had known	I known	仮定法過去完了のIfを省略する場合、助動詞のhadを主語の前に出して倒置させるルールがあるからです。	「If I had known」からIfを消すと「Had I known」という形になります。
仮定法	「もう寝る時間ですよ」と促す際、動詞はどの形にしますか？「It is time you ( ) to bed.」	went	go	have gone	are going	It is timeの後ろに仮定法過去（過去形）を用いることで、「とっくに～しているはずの時間だ」というニュアンスになるからです。	現実にはまだ寝ていないので、仮定法を使って「（仮に寝ているなら）もう寝ている時間だ」と表現します。
仮定法	「（今の状況に対し）もっとお金があればいいのになあ！」と強調する表現はどれですか？	If only I were rich!	If only I am rich!	If I only was rich!	Only if I were rich!	If only...! はI wish...よりも強い願望や感嘆を表し、後ろには仮定法を伴うという決まりがあるからです。	文末に感嘆符（！）が付くことが多く、話し手の強い感情がこもった表現になります。
仮定法	「もっとお金があれば、それを買えるのに」をIfを使わずに表現する際、適切なのはどれですか？	With more money	For more money	About more money	At more money	「With + 名詞」の形で、「もし～があれば」という仮定の意味を代用することができるからです。	前置詞だけでIf節と同じ役割を果たすことができ、非常に簡潔な表現として好まれます。
仮定法	「彼女が話すのを聞けば、彼女を男だと思うだろう」という、不定詞を使った仮定の形はどれですか？	To hear her speak	To hearing her speak	By hearing her speak	Heard her speak	不定詞（To do...）が文頭にある場合、「もし～すれば」という仮定法過去の条件を表すことがあるからです。	後半にwould take...などの形があるため、このTo hearは仮定の意味であると判断できます。
仮定法	「あなたの立場なら、私は真実を言うだろう」という、副詞句が仮定の意味になる表現はどれですか？	In your position	At your position	By your position	To your position	場所や状況を表す副詞句が、「もしその状況だったら」というIf節の代わりをすることがあるからです。	「If I were in your position」を短くした形だと考えると分かりやすいです。
仮定法	「もしあの時薬を飲んでいたら、今ごろ元気だろうに」という、過去と現在が混ざった正しい形はどれですか？	If I had taken ..., I would be ...	If I took ..., I would be ...	If I had taken ..., I would have been ...	If I take ..., I am ...	過去の仮定（had taken）が現在の結果（would be）に影響している場合、前半と後半で時制を使い分けるからです。	過去完了（過去の仮定）と過去形（今の推量）のミックスは、試験でも非常に出題されやすいポイントです。
仮定法	「もし（あの時）助けがなかったら、彼は死んでいただろう」をIt had not been...を使って表す際、正しいのはどれですか？	If it had not been for ...	If it was not for ...	If it had not for ...	If it being not for ...	過去の時点について「もし～がなかったら」と仮定する決まったフレーズがIf it had not been for ～ だからです。	仮定法過去の「If it were not for」の過去完了版です。had not been 過去分詞の形をしっかり覚えましょう。
比較	「武は健と同じくらい背が高い。」とする際、（ ）に入る正しい組み合わせはどれですか？「Takeshi is ( ) tall ( ) Ken.」	as / as	so / as	as / than	so / than	英語で「同じくらい〜」という同格を表すには、形容詞をasとasではさむルールだからです。	1つ目のasは「同じくらい」という程度を表し、2つ目のasは「〜と比べて」という比較対象を導きます。
比較	「このペンはあのペンほど新しくない。」という否定の同格表現で、適切な形はどれですか？	not as new as	not new as as	as not new as	not new than	「〜ほど…ではない」と否定する場合は、notをas 〜 asの前に置く決まりだからです。	否定文では、1つ目のasをsoに変えて「not so 〜 as …」と表現することもあります。
比較	「彼は私より速く走る。」と言う際、副詞を比較級にした正しい形はどれですか？「He runs ( ) than I.」	faster	more fast	fastier	fastest	綴りが短い副詞（fastなど）は、語尾にerを付けることで比較級を作るからです。	比較級の後ろには、比較の対象を表すthan（〜よりも）を置くのが基本のセットです。
比較	「この本はあの本より重要です。」と言う際、綴りの長い形容詞はどう変化させますか？	more important	importanter	most important	important er	importantのような長い語を比較級にする場合は、語の前にmoreを置くルールがあるからです。	長い単語にerを付けると発音が難しくなるため、moreを使って長さを調整しています。
比較	「この本はあの本より『はるかに』難しい。」と、比較の差を強調するのに適切な語はどれですか？	much	very	more	so	比較級（more difficultなど）を強調して「ずっと、はるかに」と言いたい時はmuchやfarを使うからです。	veryは「とても」という意味ですが、比較級を修飾することはできないので注意しましょう。
比較	「彼は私より上手に英語を話すことができる。」の空所に適するのはどれですか？「He can speak English ( ) than I.」	better	gooder	weller	best	well（上手に）の比較級は、語尾にerを付けるのではなく、betterに不規則変化するからです。	good（よい）の比較級も同じくbetterになります。不規則に変わる語は丸ごと覚えましょう。
比較	「高ければ高いほど、空気は冷たくなる。」という、比例して変化する様子を表す構文はどれですか？	The higher ..., the colder ...	High ..., cold ...	More higher ..., more colder ...	As higher ..., so colder ...	「The 比較級 〜 , the 比較級 …」で「〜すればするほど、ますます…」という慣用表現になるからです。	文頭にTheが付く特殊な比較の形で、前後の文の変化が連動していることを表します。
比較	「私は猫より犬が好きです。」と、preferを用いて表す際の正しい形はどれですか？	I prefer dogs to cats.	I prefer dogs than cats.	I prefer dogs more cats.	I prefer dogs as cats.	prefer（〜をより好む）を使う場合は、thanではなく前置詞のtoを使って比較対象を表すからです。	ラテン語由来の比較表現と呼ばれ、superior to（〜より優れている）なども同じ仲間です。
比較	「彼は父親と同じくらい『たくさんのお金』を持っている。」と言う際の正しい形は何ですか？	as much money as	as many money as	as money much as	as many money than	money（お金）は数えられない名詞なので、manyではなくmuchを用いて量を表すからです。	数えられる名詞（本など）ならmanyを使い、数えられない名詞ならmuchを使う使い分けが大切です。
比較	「彼はとても親切な少年です。」を、mostを使って「非常に」と強調する表現はどれですか？	a most kind boy	the most kind boy	most kind a boy	the kindest boy	「a most + 形容詞 + 単数名詞」の形で、veryと同じく「とても、非常に」という意味になるからです。	theを付けると「一番〜」という最上級になりますが、aを付けると単なる強い強調になります。
比較	「夏は四季の中で一番暑い。」とする際、（ ）に入る前置詞はどれですか？「Summer is the hottest ( ) the four seasons.」	of	in	at	by	最上級の文で、比較する対象が「複数（数や特定の物）」の場合はofを用いるルールだからです。	一方で、「クラスで」や「日本で」のように、場所や範囲を表す場合はinを使います。
比較	「ケンは私のクラスで一番背が高い。」とする際、（ ）に入る前置詞は何ですか？「Ken is the tallest ( ) my class.」	in	of	at	with	比較する範囲が「場所や団体（単数扱い）」を表す場合は、inを用いるのが一般的だからです。	inとofの使い分けは、後ろに「場所・範囲」がくるか「数・メンバー」がくるかで見分けます。
比較	「あなたは2人のうち、どちらが背が高いと思いますか？」とする際の正しい形はどれですか？	the taller of the two	the tallest of the two	taller than the two	the tallest in the two	比較する対象が「2つ（2人）」であれば、文の形が最上級に似ていても比較級を用いるからです。	3つ以上ならthe tallestですが、2つなら「どちらか一方がより〜」なのでthe tallerとなります。
比較	「私は一人でいる時が一番幸せだ。」と言う際、theが付かない正しい形はどれですか？	I am happiest when I am alone.	I am the happiest when I am alone.	I am most happy when I am alone.	I am happyest when I am alone.	同一の人や物の中で、性質や状態を比較する場合は、最上級であってもtheを付けないからです。	「他の誰かと比べて」ではなく「自分の中の状況」を比べているため、theが不要になります。
比較	「彼女はできるだけゆっくり話しました。」という慣用表現の( )に入る語は何ですか？「She spoke as slowly as ( ).」	possible	possibly	possibility	can	「as 〜 as possible」で「できるだけ〜」という決まった表現になるからです。	「as 〜 as one can」と書き換えることもでき、主語に合わせてcanやcouldを使い分けます。
比較	「富士山は日本の他のどの山よりも高い。」と言う際、anyを用いた正しい形はどれですか？	higher than any other mountain	the highest than any other mountain	more higher than any other mountain	highest any other mountain	「比較級 + than any other + 単数名詞」の形で、最上級と同じ意味を表せるからです。	any otherの後ろは必ず「単数形（mountain）」にすること。これがテストでよく狙われるポイントです。
比較	「日本には、富士山ほど高い山はない。」と言う際の正しい文頭はどれですか？	No other mountain in Japan is as high as	No mountain in Japan is high than	Any other mountain in Japan isn't as high as	Not mountain in Japan is as high as	「No other + 名詞 〜 as ... as」で「…ほど〜な名詞はない」という、否定語を用いた最上級表現だからです。	文頭に否定をもってくることで、結果として「富士山が一番高い」ことを強調しています。
比較	「彼は、歌手というよりむしろ俳優です。」という同格の否定を用いた慣用句はどれですか？	not so much a singer as an actress	not more a singer than an actress	not a singer so as an actress	as a singer not as an actress	「not so much A as B」で「AというよりむしろB」という、2つの性質を比べる決まった言い方だからです。	同格のas asが使われていますが、意味は「A＜B」という比較に近いニュアンスになります。
比較	「ついに、彼女はその試験に合格しました。」という最上級を用いた熟語は何ですか？	At last	In last	For last	At the last	「At last」で「ついに、ようやく」という意味の副詞的な慣用表現になるからです。	長い努力の末に、やっとのことで達成したというニュアンスで使われる表現です。
比較	「彼は私よりも速く走る。」の文末に代名詞を置く際、最も正式な形（主格）はどれですか？「He runs faster than ( ).」	I	me	my	mine	比べているのが主語（He）であるため、thanの後ろも主格（I）を置くのが文法的に正しいからです。	実際には「faster than I can run」の略です。口語ではmeを使うことも多いですが、基本はIです。
文の種類	「公園には子供がほとんどいませんでした」とする際、( )に入る適切な語はどれですか？「There were ( ) children in the park.」	few	a few	little	a little	数えられる名詞（children）に対し、「ほとんどない」という否定的な意味を表すからです。	a fewだと「少しいる」という肯定的な意味になります。冠詞のaがないfewは「ほとんどない」という準否定語です。
文の種類	「彼は先週、ほとんどビールを買いませんでした」とする際、( )に入る適切な語はどれですか？「He bought ( ) beer last week.」	little	a little	few	a few	数えられない名詞（beer）に対し、「ほとんどない」という量を表す準否定語だからです。	液体やお金など数えられない名詞にはlittleを使います。fewは数えられる名詞に使うのでここでは不適切です。
文の種類	「ポールは日本語をほとんど話せません」とする際、程度の否定を表す( )に適するのはどれですか？「Paul can ( ) speak Japanese.」	hardly	rarely	seldom	never	「ほとんど〜ない」という能力や程度の否定を表すには、hardlyやscarcelyを用いるからです。	rarelyやseldomは「めったに〜しない」という頻度を表す言葉なので、この文脈ではhardlyが最適です。
文の種類	「彼はめったに仕事に遅刻しません」とする際、( )に入る適切な頻度の準否定語はどれですか？「He is ( ) late for work.」	rarely	hardly	scarcely	almost	「めったに〜ない」という回数・頻度の少なさを表すには、rarelyやseldomを用いるルールだからです。	hardlyは「程度（ほとんど〜ない）」を表すのに対し、rarelyは「頻度（めったに〜ない）」を表すという違いがあります。
文の種類	「これはなんて美しい鳥なんだろう！」という感嘆文を作る際、( )に入る語は何ですか？「( ) a beautiful bird this is!」	What	How	So	Such	「What + a + 形容詞 + 名詞」の語順で、名詞を強調する感嘆文を作る決まりだからです。	最後に名詞（bird）がくる場合はWhat、形容詞だけで終わる場合はHowを使うと見分けるのがコツです。
文の種類	「その少女はなんて美しいのだろう！」という感嘆文を作る際、( )に入る語は何ですか？「( ) beautiful the girl is!」	How	What	So	Very	「How + 形容詞 + 主語 + 動詞」の語順で、形容詞の状態を強調する感嘆文を作るからです。	驚きの対象が形容詞（beautiful）に直接かかっているため、Howを用います。veryをHowに変えるイメージです。
文の種類	「あなたは忙しいですよね？」と念を押す付加疑問文の( )に入る形はどれですか？「You are busy, ( )?」	aren't you	are you	don't you	do you	前の文が肯定文の場合、文末には「be動詞の否定＋主語」を付けて確認をとるルールだからです。	「〜ですよね？」と相手に同意を求める表現です。前の文と肯定・否定を逆にするのがポイントです。
文の種類	「あなたは忙しくないですよね？」という否定文に続く付加疑問はどれですか？「You aren't busy, ( )?」	are you	aren't you	do you	don't you	前の文が否定文の場合、文末には「be動詞の肯定＋主語」を置いて相手に確認するからです。	否定文の後は肯定の疑問形（are you）になります。これも肯定文の時とは逆に設定します。
文の種類	「お腹が空いていないのですか？」と聞かれ、「いいえ、空いています」と答える際の正しい形はどれですか？「Aren't you hungry?」	Yes, I am.	No, I am.	Yes, I am not.	No, I am not.	英語では質問の形に関わらず、自分の状態が肯定ならYes、否定ならNoで答える決まりだからです。	日本語の「はい/いいえ」とは逆になるため、日本人が最も間違えやすいポイントです。空いていれば常にYesです。
文の種類	「窓を閉めてくれませんか？」と命令文に付加疑問を付けて依頼する形はどれですか？「Close the window, ( )?」	will you	do you	shall we	aren't you	命令文の後にwill youを付けると、「〜してくれますか？」という柔らかい依頼の表現になるからです。	命令文の付加疑問は、相手の意志を問うwill youを用いるのが一般的です。
文の種類	「買い物に行きましょうよ」と誘う文に付け加える付加疑問は何ですか？「Let's go shopping, ( )?」	shall we	will you	do we	don't we	Let'sで始まる勧誘の文では、文末にshall weを付けて「〜しませんか？」と誘うルールだからです。	Shall we...? 単体で誘うのと同じニュアンスを、文末に添えることで表現できます。
文の種類	「私はそれについて全て知っているわけではありません」という部分否定の文として正しいのはどれですか？	I don't know everything about it.	I don't know anything about it.	I know nothing about it.	I not know everything about it.	notとevery（all）を組み合わせることで、「すべてが〜という訳ではない」という部分的な否定になるからです。	anythingを使うと「何も知らない」という完全否定になります。everythingにnotが付くと「一部は知っている」という意味です。
文の種類	「金持ちがいつも幸せだとは限らない」という部分否定の( )に入る適切な語は何ですか？「The rich are not ( ) happy.」	always	never	really	completely	not alwaysの形で「いつも〜とは限らない」という、常にそうである訳ではないことを表すからです。	100%ではないことを示すのが部分否定です。notとalwaysのセットで覚えましょう。
文の種類	「私はそれについて全く知りません」という完全否定の正しい英文はどれですか？	I don't know anything about it.	I don't know everything about it.	I not know anything about it.	I don't know something about it.	「not ... any」の形で「一つも（全く）〜ない」という完全な否定を表すからです。	部分否定（not everything）と混同しないように注意が必要です。一欠片も知らない状態を指します。
文の種類	「その箱を開けてはいけません」という否定の命令文を作る際、文頭に置くのはどれですか？	Don't	Not	Do not be	No	命令文を否定にする時は、動詞がbe動詞であっても一般動詞であっても、文頭にDon'tを置くルールだからです。	「〜するな」と禁止する表現です。動詞は必ず原形を使います。
文の種類	「絶対に騒がしくしてはいけません」と禁止を強く強調する際にDon'tの代わりに使える語は何ですか？	Never	No	Not	Ever	Neverを文頭に置くことで、「決して（一度も、絶対に）〜するな」という強い禁止の命令になるからです。	Don'tよりも強い警告や規則を述べる際によく使われます。
文の種類	「正直になりなさい」という命令文として正しい形はどれですか？	Be honest.	Is honest.	Are honest.	Do honest.	形容詞（honest）を命令文にする際は、be動詞の原形であるBeを文頭に置く決まりだからです。	命令文は常に動詞の原形から始まります。主語のYouが省略されていると考えましょう。
文の種類	「彼はケンとユリのどちらも知っているわけではない（片方は知らない）」という部分否定はどれですか？	He doesn't know both Ken and Yuri.	He doesn't know either Ken or Yuri.	He knows neither Ken nor Yuri.	He doesn't know both Ken or Yuri.	not ... bothの形で「両方とも〜という訳ではない」という、二者のうち片方を否定する意味になるからです。	eitherを使うと「どちらも知らない」という完全否定になってしまうので、使い分けが重要です。
文の種類	「必ずしも本当だとは限らない」という部分否定の表現はどれですか？「It is not ( ) true.	necessarily	really	always	completely	not necessarilyで「必ずしも〜という訳ではない」という、例外があることを示す決まった言い方だからです。	真理や推測に対して、「100%そう言い切れる訳ではない」という控えめな否定を添えます。
文の種類	「彼はサッカーをすることができますよね？」という助動詞canを含む付加疑問文はどれですか？	He can play soccer, can't he?	He can play soccer, can he?	He can play soccer, doesn't he?	He can play soccer, won't he?	文中に助動詞（can）がある場合、付加疑問にも同じ助動詞の否定形（can't）を用いるルールだからです。	be動詞ならbe動詞、助動詞なら助動詞をそのまま活用して文末に付けます。
前置詞 1	「私は駅で彼を待っています」と言う際、( )に入る適切な語はどれですか？「I am waiting for him ( ) the station.」	at	in	on	to	駅を地図上の一点として捉えているからです。	atは特定の地点（ポイント）を指すイメージで使います。街のような広い範囲ならinを使います。
前置詞 1	「壁に時計がかかっています」とする際、( )に入る語は何ですか？「There is a clock ( ) the wall.」	on	in	at	by	壁という平面に「接触」している状態を表すからです。	onは「～の上に」だけでなく、壁や天井など、どこかにペタッとくっついている時に使います。
前置詞 1	「私は英語で手紙を書きました」と言う際、手段を表す( )に適するのはどれですか？「I wrote a letter ( ) English.」	in	with	by	at	言語やインクなどの「材料・枠組み」の中に情報を込めるイメージだからです。	道具（ペンなど）ならwithを使いますが、言語という表現媒体を使う場合はinを用いるのが決まりです。
前置詞 1	「私は日曜日にテニスをします」と言う際、特定の日に使う前置詞はどれですか？「I play tennis ( ) Sunday.」	on	at	in	for	曜日や日付など、特定の「日」を指す場合はonを使うルールがあるからです。	月（in July）や時刻（at 5:00）と混同しやすいですが、カレンダー上の「日」にはonを使います。
前置詞 1	「この冬は雪がたくさん降るでしょう」と言う際、季節を表す( )に適するのはどれですか？「It will snow a lot ( ) winter.」	in	at	on	for	季節や月、年などの比較的長い期間の「中」を指す場合はinを用いるからです。	inは容器の中に包まれているイメージです。季節という大きな時間の枠組みを表すのに最適です。
前置詞 1	「私は10時に寝ます」とする際、特定の時刻を指す( )に入る語は何ですか？「I go to bed ( ) ten.」	at	on	in	with	時計の針が指す「瞬間的な一点」を表す場合にはatを用いる決まりだからです。	時間の広がりがないピンポイントな時刻には、常にatを使うと覚えておきましょう。
前置詞 1	「明日までにこの仕事を終えてください」と言う際、期限を表す( )はどれですか？「Finish this work ( ) tomorrow.」	by	until	for	to	「～までに（完了）」という期限を示す場合は、前置詞のbyを用いるからです。	untilは「～までずっと（継続）」を意味します。一回きりの期限ならbyを使うのが正解です。
前置詞 1	「私は3時間勉強しました」と言う際、期間を表す( )に入る語は何ですか？「I studied ( ) three hours.」	for	during	in	at	「数字を伴う時間の長さ（期間）」を表す場合は、forを用いるルールがあるからです。	duringは「夏休みの間」のように特定の期間を指す名詞と共に使いますが、数詞があるならforです。
前置詞 1	「この机は木で作られています」と言う際、( )に入る適切な語はどれですか？「This desk is made ( ) wood.」	of	from	in	with	見た目で材料（木）がそのまま分かると判断される場合はofを使うからです。	材料の質が変わらないならof、ワイン（原料はブドウ）のように性質が変化するならfromを使います。
前置詞 1	「バターは牛乳から作られます」と言う際、( )に入る適切な語は何ですか？「Butter is made ( ) milk.」	from	of	in	by	原料（牛乳）が加工されて別の性質のものに変化している場合はfromを使うからです。	製品を見て元の形が想像しにくい「原料」を表す際は、起点（～から）を意味するfromが適しています。
前置詞 1	「彼は私の部屋に入ってきました」とする際、( )に入る適切な形はどれですか？「He came ( ) my room.」	into	in	to	at	外から内側への「移動と変化」を強調して表す語だからです。	in（中にいる状態）とto（向かう方向）が合体したのがintoです。中への入り込みを表します。
前置詞 1	「氷は水に変わります」と言う際、( )に入る変化の結果を表す語は何ですか？「Ice changes ( ) water.」	into	to	for	as	別の性質や形にすっかり入れ替わるという「変化のプロセス」を表すからです。	A into Bという形で、「Aが変化してBの中に入り込む」というイメージで捉えると分かりやすいです。
前置詞 1	「彼はペンで名前を書きました」と言う際、( )に入る道具を表す語はどれですか？「He wrote his name ( ) a pen.」	with	by	in	at	手に持つ「道具」を使って動作を行う場合はwithを用いるルールがあるからです。	自分の体の一部や道具を「使って」という時には、同伴のイメージのwithが使われます。
前置詞 1	「私は家族と一緒に住んでいます」とする際、( )に入る同伴の語は何ですか？「I live ( ) my family.」	with	for	by	to	誰かと「共にいる（同伴）」という関係を表すのに最適な前置詞だからです。	一緒にいることだけでなく、何かを所有している（目が輝いている等）という付随した状態も表せます。
前置詞 1	「彼はキャプテンとして選ばれました」とする際、( )に入る役割を表す語は何ですか？「He was chosen ( ) captain.」	as	like	for	with	「～として（資格・役割）」という意味を表すことができるのはasだけだからです。	役職や資格、性質を表す名詞の前に置き、その立場であることを説明する際に非常に便利です。
前置詞 1	「私はサッカーが得意です」と言う際、( )に入る適切な語は何ですか？「I am good ( ) playing soccer.」	at	in	for	to	能力やスキルの「特定の分野」をピンポイントで指す場合にatを用いるからです。	be good atは熟語として有名ですが、一点に集中しているというatのイメージから来ています。
前置詞 1	「私はバスで学校へ行きます」と言う際、( )に入る交通手段を表す語はどれですか？「I go to school ( ) bus.」	by	in	with	on	手段や方法を表すbyを使い、冠詞（a/the）を付けないのが一般的なルールだからです。	交通手段のbyの後ろにはaやsを付けません。徒歩の場合はon footという例外も覚えましょう。
前置詞 1	「彼は明日東京へ向けて出発します」の( )に入る、目的地を指す語は何ですか？「He leaves ( ) Tokyo tomorrow.」	for	to	at	in	目標となる方向に意識が向いている「～を目指して」という意味を表すからです。	leave Tokyoだと「東京を去る」ですが、forがあると「東京に向かう」という逆の意味になります。
前置詞 1	「その家の屋根は赤色です」と言う際、( )に入る所有・部分を表す語はどれですか？「The roof ( ) the house is red.」	of	in	at	on	全体（家）の中の一部（屋根）を説明し、「～の」という関係を作るからです。	A of Bで「Bの中のA」というイメージです。所属や一部であることを示す際によく使われます。
前置詞 1	「私はそのニュースを聞いて驚きました」とする際、( )に入る原因の語はどれですか？「I was surprised ( ) the news.」	at	with	by	to	驚きの原因となるものに心がパッと反応した「一点」を指しているからです。	感情が引き起こされた対象に焦点を当てる際、感情を表す形容詞とatがセットでよく使われます。
前置詞 2	「東京と大阪の間を列車が走っています」とする際、2つの地点の間を指す語はどれですか？	between	among	through	over	2つの人や物、場所の間を指す場合にはbetweenを用いるルールがあるからです。	3つ以上の場合はamongを使いますが、2つの間をはっきりと指す時はbetweenが正解です。
前置詞 2	「彼は橋の向こう側に立っています」と言う際、（ ）に適するのはどれですか？「He is standing ( ) the bridge.」	beyond	behind	under	through	ある境界線を越えた「向こう側」という場所を表すからです。	視界の先にある壁や川などの向こう側に位置している状態をbeyondで表現します。
前置詞 2	「机の下に雑誌を置きました」とする際、真下の位置を指す適切な語は何ですか？	under	below	behind	beyond	対象物のすぐ真下にあるという垂直方向の位置関係を表すからです。	机に接していなくても、その空間の真下を指す時にはunderが最も一般的です。
前置詞 2	「橋の下流にはたくさんの人がいました」と言う際、（ ）に入る語はどれですか？「There were many people ( ) the bridge.」	below	under	beyond	between	ある基準点（橋）よりも低い位置にあることを表すからです。	垂直の真下ならunder、基準より低い位置や流れの下の方ならbelowと使い分けます。
前置詞 2	「暗くなった後で、私は町に到着しました」と言う際、時の前後関係を表す語はどれですか？	after	behind	from	beyond	ある出来事や時間の「〜の後で」という順序を表すからです。	接続詞としても使われますが、名詞の前に置いて「〜の後」と時を示すことができます。
前置詞 2	「私は今から、トロントからニューヨークへ行きます」と言う際、出発点を表す語は何ですか？	from	into	around	over	動作の始まりの地点（起点）を表すのに最適な前置詞だからです。	どこから始まったかという「出発点」を示す際には常にfromを意識しましょう。
前置詞 2	「私は午前10時頃にここへ来ると思います」と言う際、およその時間を表すのはどれですか？	around	behind	through	between	特定の時間の「周辺（〜ごろ）」という曖昧な時を指すからです。	ぴったりならatを使いますが、前後を含めた周辺の時間にはaroundを用います。
前置詞 2	「ドアの後ろにほうきがあります」とする際、背後の位置を指す語は何ですか？	behind	beyond	against	under	物に隠れるような位置である「〜の背後に」という意味を表すからです。	表側から見て裏側の位置関係を指す際に非常に便利な前置詞です。
前置詞 2	「私は中央改札を通り抜けました」と言う際、（ ）に入る貫通を表す語は何ですか？	through	over	across	along	トンネルや門のような空間を「通り抜けて」という移動を表すからです。	立体的な空間や、入り口から出口までを通り抜けるイメージにはthroughを使います。
前置詞 2	「コーヒーを飲みながら友達を待ちました」と言う際、従事を表す適切な語は何ですか？	over	through	about	around	「〜をしながら」と、ある動作を楽しみながら時間を過ごす様子を表すからです。	over a cup of coffee（コーヒーを飲みながら）は、会話でよく使われる定番フレーズです。
前置詞 2	「私は傘を壁に立てかけた」と言う際、接触・対抗を表す（ ）に入る語は何ですか？	against	behind	under	beyond	壁に向かって圧力がかかる形で接触している状態を表現するからです。	寄りかかったり、何かに反対したりする「対抗・抵抗」のイメージにはagainstを使います。
前置詞 2	「彼はその事件について何か知っているかもしれません」とする際、内容を指す語はどれですか？	about	around	over	from	ある特定のテーマや話題に関連する「〜について」という意味を表すからです。	周辺情報を広く含めた「〜に関する内容」を説明する際に最もよく使われます。
前置詞 2	「私は物理か生物か選ばなければならない」と言う際、選択肢の間を指す語は何ですか？	between	among	about	against	提示された2つの選択肢のうち、どちらかを選ぶという関係を表すからです。	「choose between A and B」の形で、区別や選択の対象をはっきり示します。
前置詞 2	「その内容は私の理解を超えています」とする際、限度を表す（ ）に入る語は何ですか？	beyond	over	above	after	自分の能力や範囲の限界を「越えて」という抽象的な意味を表すからです。	理解できない、想像できないといった「限度を超越した」状態をbeyondで表せます。
前置詞 2	「私の車は修理中です」とする際、動作の過程を表す（ ）に入る語は何ですか？	under	below	through	after	「〜の過程にある（〜中である）」という進行中の状態を表すからです。	under repair（修理中）やunder treatment（治療中）など、定型的な表現でよく使われます。
前置詞 2	「私は友達を追いかけました」と言う際、追跡を表す熟語を作る語は何ですか？	after	over	through	against	run afterの形で、誰かの「後を追う」という動作を完成させるからです。	面倒をみる（look after）なども、後をついていくイメージから派生した重要な表現です。
前置詞 2	「彼女は日本中を旅行しました」と言う際、あちこちを回る様子を表す語はどれですか？	around	about	over	through	範囲内のいろいろな場所を「あちこち巡る」というイメージを表すからです。	around Japanで「日本のあちこち」となり、全土を回ったようなニュアンスになります。
前置詞 2	「彼女は彼の意見を支持しています」とする際、背後から支えるイメージの語は何ですか？	behind	beyond	against	between	「〜の後押しをしている」という比喩的な意味で、支持を表現できるからです。	be behind someone's opinionで、誰かの考えをバックアップしていることを表せます。
前置詞 2	「彼は予定より遅れています」と言う際、定刻に遅れていることを表す語は何ですか？	behind	under	after	through	決まった時刻やスケジュールの「後ろ」にいるという遅延を表すからです。	running behind time（時間に遅れている）というフレーズで丸ごと覚えましょう。
前置詞 2	「私はその試験に合格したい」とする際、完了や通過を意味する熟語を作る語は何ですか？	through	over	across	along	get throughの形で、障害や困難な場所を「通り抜ける（合格する）」という意味になるからです。	試験や困難をパスするという意味では、throughの持つ「貫通」のイメージが使われます。