No.	theme	key words and phrases_1	meaning of the words and phrases_1	phonetic symbol_1	part of speech_1	example sentence_1	japanese of example sentence_1	key words and phrases_2	meaning of the words and phrases_2	phonetic symbol_2	part of speech_2	example sentence_2	japanese of example sentence_2	key words and phrases_3	meaning of the words and phrases_3	phonetic symbol_3	part of speech_3	example sentence_3	japanese of example sentence_3	key words and phrases_4	meaning of the words and phrases_4	phonetic symbol_4	part of speech_4	example sentence_4	japanese of example sentence_4	key words and phrases_5	meaning of the words and phrases_5	phonetic symbol_5	part of speech_5	example sentence_5	japanese of example sentence_5	key words and phrases_6	meaning of the words and phrases_6	phonetic symbol_6	part of speech_6	example sentence_6	japanese of example sentence_6	article	with slash	japanese
Business	Networking	genuine	真の、心からの	/ˈdʒen.ju.ɪn/	形容詞	She showed a genuine interest in our project.	彼女は私たちのプロジェクトに心からの関心を示した。	long-term	長期的な	/ˌlɒŋˈtɜːm/	形容詞	We are looking for a long-term solution.	私たちは長期的な解決策を探している。	attending	出席すること	/əˈtendɪŋ/	動名詞	Attending the conference was very useful.	会議に出席することは非常に有益だった。	trends	傾向、動向	/trendz/	名詞	Keeping up with fashion trends is difficult.	ファッションの流行についていくのは難しい。	potential	潜在的な	/pəˈten.ʃəl/	形容詞	We need to identify potential risks.	私たちは潜在的なリスクを特定する必要がある。	challenging	困難だがやりがいのある	/ˈtʃæl.ɪn.dʒɪŋ/	形容詞	Climbing this mountain is a challenging task.	この山に登ることは困難な課題だ。	Networking is not just about exchanging business cards; it’s about building genuine, long-term relationships. Attending industry events allows professionals to learn about new trends and potential career opportunities. A strong network can provide support and advice during challenging times.	Networking / is not just about / exchanging business cards; / it’s about building / genuine, long-term relationships. / Attending industry events / allows professionals / to learn about new trends / and potential career opportunities. / A strong network / can provide / support and advice / during challenging times.	Networking / is not just about / exchanging business cards; / it’s about building / genuine, long-term relationships. ネットワーキングは単なる名刺交換ではありません。それは本物の、長期的な関係を築くことです。  Attending industry events / allows professionals / to learn about new trends / and potential career opportunities. 業界のイベントに参加することで、専門家は新しいトレンドや潜在的なキャリアの機会について学ぶことができます。  A strong network / can provide / support and advice / during challenging times. 強力なネットワークは、困難な時期にサポートやアドバイスを提供してくれます。
Business	Time Management	mastering	習得すること	/ˈmɑː.stər.ɪŋ/	動名詞	Mastering a new language takes time.	新しい言語を習得するには時間がかかる。	fast-paced	展開の速い	/ˌfɑːstˈpeɪst/	形容詞	I enjoy working in a fast-paced environment.	私は展開の速い環境で働くのが好きだ。	techniques	手法、技術	/tekˈniːks/	名詞	This book teaches various cooking techniques.	この本は様々な料理の手法を教えてくれる。	time-blocking	タイムブロッキング	/ˈtaɪm ˌblɒk.ɪŋ/	名詞	Time-blocking helps me stay focused.	タイムブロッキングは集中を維持するのに役立つ。	high-priority	優先度の高い	/ˌhaɪ praɪˈɒr.ə.ti/	形容詞	Please complete the high-priority tasks first.	まず優先度の高いタスクを完了させてください。	necessarily	必ずしも（〜でない）	/ˌnes.əˈser.əl.i/	副詞	Expensive gifts are not necessarily better.	高価な贈り物が必ずしも良いとは限らない。	Mastering time management is a key skill for any successful professional in a fast-paced environment. Using techniques like the "Pomodoro method" or "Time-blocking" can help maintain focus on high-priority tasks. It's about working smarter, not necessarily harder, to achieve your goals.	Mastering time management / is a key skill / for any successful professional / in a fast-paced environment. / Using techniques / like the "Pomodoro method" / or "Time-blocking" / can help maintain focus / on high-priority tasks. / It's about working smarter, / not necessarily harder, / to achieve your goals.	Mastering time management / is a key skill / for any successful professional / in a fast-paced environment. タイムマネジメントをマスターすることは、変化の速い環境で成功する専門家にとって重要なスキルです。  Using techniques / like the "Pomodoro method" / or "Time-blocking" / can help maintain focus / on high-priority tasks. 「ポモドーロ・テクニック」や「タイムブロッキング」のような手法を使うことで、優先度の高いタスクへの集中を維持しやすくなります。  It's about working smarter, / not necessarily harder, / to achieve your goals. 目標を達成するためには、必ずしもより懸命に働くのではなく、より賢く働くことが重要なのです。
Business	Conflict Resolution	inevitable	避けられない	/ɪˈnev.ɪ.tə.bl̩/	形容詞	Small mistakes are inevitable during the process.	その過程で小さなミスは避けられない。	diverse	多様な	/daɪˈvɜːs/	形容詞	Our team has people from diverse backgrounds.	私たちのチームには多様な経歴を持つ人々がいる。	address	取り組む、対処する	/əˈdres/	動詞	We need to address the climate issue now.	私たちは今、気候問題に取り組む必要がある。	dialogue	対話	/ˈdaɪ.ə.lɒɡ/	名詞	Constructive dialogue is key to peace.	建設的な対話が平和への鍵だ。	perspectives	視点、見方	/pəˈspektɪvz/	名詞	Travel gives us new perspectives.	旅は私たちに新しい視点を与えてくれる。	cohesion	結束	/kəʊˈhiː.ʒən/	名詞	Team cohesion is essential for winning.	勝つためにはチームの結束が不可欠だ。	Disagreements in the workplace are inevitable when diverse people work together on complex projects. The key is to address issues early through professional and calm dialogue rather than avoiding them. Understanding different perspectives leads to better solutions and stronger team cohesion.	Disagreements / in the workplace / are inevitable / when diverse people / work together / on complex projects. / The key is / to address issues early / through professional and calm dialogue / rather than avoiding them. / Understanding different perspectives / leads to / better solutions / and stronger team cohesion.	Disagreements / in the workplace / are inevitable / when diverse people / work together / on complex projects. 多様な人々が複雑なプロジェクトで協力する場合、職場での意見の相違は避けられません。  The key is / to address issues early / through professional and calm dialogue / rather than avoiding them. 重要なのは、問題を避けるのではなく、プロフェッショナルで冷静な対話を通じて早期に対処することです。  Understanding different perspectives / leads to / better solutions / and stronger team cohesion. 異なる視点を理解することは、より良い解決策と、より強いチームの結束につながります。
Business	Innovation Culture	thrive	繁栄する	/θraɪv/	動詞	Some businesses thrive during the winter.	冬の間に繁栄するビジネスもある。	culture	文化	/ˈkʌl.tʃər/	名詞	We want to build a culture of trust.	私たちは信頼の文化を築きたい。	risks	リスク、危険	/rɪsks/	名詞	You must take risks to achieve success.	成功するためにはリスクを取らなければならない。	viewed as	〜と見なされる	/vjuːd æz/	句	Mistakes should be viewed as learning steps.	ミスは学習のステップと見なされるべきだ。	punishment	罰	/ˈpʌn.ɪʃ.mənt/	名詞	The law provides severe punishment for theft.	法律は窃盗に対して厳しい罰を定めている。	unexpected	予期せぬ	/ˌʌn.ɪkˈspek.tɪd/	形容詞	We received some unexpected news today.	今日、予期せぬ知らせを受け取った。	Companies that thrive are usually those that encourage an "innovation culture" where employees feel safe to take risks. Failure should be viewed as a learning opportunity rather than a reason for punishment. Creative ideas often come from the most unexpected parts of the organization.	Companies / that thrive / are usually those / that encourage / an "innovation culture" / where employees feel safe / to take risks. / Failure should be viewed / as a learning opportunity / rather than a reason / for punishment. / Creative ideas / often come / from the most unexpected parts / of the organization.	Companies / that thrive / are usually those / that encourage / an "innovation culture" / where employees feel safe / to take risks. 繁栄する企業は通常、従業員がリスクを冒しても安全だと感じられる「イノベーション文化」を奨励している企業です。  Failure should be viewed / as a learning opportunity / rather than a reason / for punishment. 失敗は、処罰の理由ではなく、学習の機会として見なされるべきです。  Creative ideas / often come / from the most unexpected parts / of the organization. 創造的なアイデアは、しばしば組織の最も予期しない部分から生まれます。
Business	Corporate Branding	brand	ブランド	/brænd/	名詞	They are building a global brand.	彼らは世界的なブランドを構築している。	represents	表す、象徴する	/ˌrep.rɪˈzents/	動詞	This logo represents our company's values.	このロゴは我が社の価値観を表している。	loyal	忠実な	/ˈlɔɪ.əl/	形容詞	He is a loyal customer of this shop.	彼はこの店の忠実な顧客だ。	personal connection	個人的なつながり	/ˈpɜː.sən.əl kəˈnek.ʃən/	句	It's important to build a personal connection.	個人的なつながりを築くことが重要だ。	channels	経路、媒体	/ˈtʃæn.əlz/	名詞	We use multiple channels for marketing.	私たちはマーケティングに複数の経路を使用する。	recognition	認識、認知	/ˌrek.əɡˈnɪʃ.ən/	名詞	The brand has high recognition in Europe.	そのブランドは欧州で高い認知度を誇っている。	A strong brand is more than just a logo; it represents the values and promises of the company. Customers are more likely to stay loyal to a brand that they trust and feel a personal connection with. Consistency across all communication channels is essential for brand recognition.	A strong brand / is more than just a logo; / it represents / the values and promises / of the company. / Customers / are more likely to stay loyal / to a brand / that they trust / and feel a personal connection with. / Consistency / across all communication channels / is essential / for brand recognition.	A strong brand / is more than just a logo; / it represents / the values and promises / of the company. 強力なブランドは単なるロゴではありません。それは企業の価値観と約束を表しています。  Customers / are more likely to stay loyal / to a brand / that they trust / and feel a personal connection with. 顧客は、信頼し、個人的なつながりを感じるブランドに対して、忠実であり続ける可能性が高くなります。  Consistency / across all communication channels / is essential / for brand recognition. すべてのコミュニケーションチャネルにおける一貫性は、ブランド認知のために不可欠です。
Business	Presentation Skills	visuals	視覚資料	/ˈvɪʒ.u.əlz/	名詞	The presentation needs better visuals.	プレゼンにはもっと良い視覚資料が必要だ。	logical	論理的な	/ˈlɒdʒ.ɪ.kəl/	形容詞	Her argument was clear and logical.	彼女の主張は明確で論理的だった。	audience	聴衆	/ˈɔː.di.əns/	名詞	The audience applauded at the end.	最後に聴衆は拍手を送った。	tailor	合わせる、調整する	/ˈteɪ.lər/	動詞	You should tailor your CV for each job.	仕事ごとに履歴書を調整すべきだ。	remarks	発言	/rɪˈmɑːks/	名詞	The chairman made some brief remarks.	議長はいくつか短い発言をした。	significantly	著しく	/sɪɡˈnɪf.ɪ.kənt.li/	副詞	Prices have risen significantly recently.	最近、価格が著しく上昇した。	Delivering a powerful presentation requires a combination of clear visuals, a logical story, and confident body language. It's important to know your audience and tailor your message to their specific needs. Practicing the opening and closing remarks can significantly reduce nervous energy.	Delivering a powerful presentation / requires / a combination of clear visuals, / a logical story, / and confident body language. / It's important / to know your audience / and tailor your message / to their specific needs. / Practicing the opening and closing remarks / can significantly reduce / nervous energy.	Delivering a powerful presentation / requires / a combination of clear visuals, / a logical story, / and confident body language. 力強いプレゼンテーションを行うには、明確なビジュアル、論理的なストーリー、そして自信に満ちたボディランゲージの組み合わせが必要です。  It's important / to know your audience / and tailor your message / to their specific needs. 聴衆を知り、彼らの特定のニーズに合わせてメッセージを調整することが重要です。  Practicing the opening and closing remarks / can significantly reduce / nervous energy. 冒頭と結びの言葉を練習することで、緊張を大幅に和らげることができます。
Business	Leadership Qualities	shifting away	〜から離れる、移行する	/ˈʃɪf.tɪŋ əˈweɪ/	句	The company is shifting away from traditional ads.	会社は伝統的な広告から離れつつある。	empathy	共感	/ˈem.pə.θi/	名詞	A good leader needs to show empathy.	良いリーダーは共感を示す必要がある。	coaching	コーチング、指導	/ˈkəʊ.tʃɪŋ/	名詞	The manager is good at coaching his staff.	マネージャーはスタッフの指導が上手だ。	inspire	鼓舞する	/ɪnˈspaɪər/	動詞	The speech inspired the students to study.	その演説は学生たちを勉強に駆り立てた。	empowering	権限を与える	/ɪmˈpaʊ.ə.rɪŋ/	動名詞	Empowering employees leads to more innovation.	従業員に権限を与えることは革新につながる。	responsibility	責任	/rɪˌspɒn.sɪˈbɪl.ə.ti/	名詞	Managing the project is a big responsibility.	プロジェクトの管理は大きな責任を伴う。	Modern leadership is shifting away from "command and control" toward empathy and coaching. Great leaders inspire their teams by setting a vision and empowering others to make their own decisions. They listen more than they speak and take responsibility for the team’s failures.	Modern leadership / is shifting away / from "command and control" / toward empathy and coaching. / Great leaders / inspire their teams / by setting a vision / and empowering others / to make their own decisions. / They listen / more than they speak / and take responsibility / for the team’s failures.	Modern leadership / is shifting away / from "command and control" / toward empathy and coaching. 現代のリーダーシップは、「指揮と統制」から共感とコーチングへと移行しています。  Great leaders / inspire their teams / by setting a vision / and empowering others / to make their own decisions. 優れたリーダーは、ビジョンを掲げ、他者が自ら意思決定できるように権限を与えることでチームを鼓舞します。  They listen / more than they speak / and take responsibility / for the team’s failures. 彼らは話すことよりも聞くことに重点を置き、チームの失敗に対して責任を負います。
Football	Pregame Tension	atmosphere	雰囲気	/ˈæt.mə.sfɪər/	名詞	The office has a relaxed atmosphere.	オフィスはリラックスした雰囲気だ。	anxiety	不安	/æŋˈzaɪ.ə.ti/	名詞	Exam results can cause a lot of anxiety.	試験結果は多大な不安を引き起こすことがある。	mentally	精神的に	/ˈmen.təl.i/	副詞	The players were mentally prepared for the game.	選手たちは試合に向けて精神的に準備ができていた。	rehearse	予行演習する	/rəˈhɜːs/	動詞	We need to rehearse the ceremony once more.	私たちは式典の予行演習をもう一度する必要がある。	pumped up	熱狂して、興奮して	/pʌmpt ʌp/	句	The fans were pumped up before the match.	試合前、ファンは熱狂していた。	crucial	決定的に重要な	/ˈkruː.ʃəl/	形容詞	This meeting is crucial for our future.	この会議は私たちの将来にとって極めて重要だ。	The atmosphere in the locker room just before a big match is filled with a mix of focus and anxiety. Some players prefer silence to mentally rehearse their moves, while others need loud music to get pumped up. The captain's final speech is crucial for uniting the team.	The atmosphere / in the locker room / just before a big match / is filled with / a mix of focus and anxiety. / Some players / prefer silence / to mentally rehearse their moves, / while others / need loud music / to get pumped up. / The captain's final speech / is crucial / for uniting the team.	The atmosphere / in the locker room / just before a big match / is filled with / a mix of focus and anxiety. 大きな試合直前のロッカールームの雰囲気は、集中と不安が入り混じった空気に満ちています。  Some players / prefer silence / to mentally rehearse their moves, / while others / need loud music / to get pumped up. 動きを精神的にリハーサルするために沈黙を好む選手もいれば、気分を高揚させるために大音量の音楽を必要とする選手もいます。  The captain's final speech / is crucial / for uniting the team. キャプテンの最後のスピーチは、チームを団結させるために極めて重要です。
Football	Injury Recovery	psychological	心理的な	/ˌsaɪ.kəˈlɒdʒ.ɪ.kəl/	形容詞	Noise can have a psychological effect on people.	騒音は人に心理的な影響を与える可能性がある。	blow	打撃	/bləʊ/	名詞	Losing the job was a serious blow to him.	失業は彼にとって深刻な打撃だった。	grueling	過酷な	/ˈɡruː.ə.lɪŋ/	形容詞	They completed a grueling mountain climb.	彼らは過酷な登山を完遂した。	conditioning	コンディショニング、調整	/kənˈdɪʃ.ən.ɪŋ/	名詞	Physical conditioning is key to avoiding injury.	身体の調整は怪我を防ぐ鍵だ。	pitch	競技場（サッカーなど）	/pɪtʃ/	名詞	The players ran onto the pitch.	選手たちはピッチに駆け出した。	medical staff	医療スタッフ	/ˈmed.ɪ.kəl stɑːf/	名詞	The medical staff worked day and night.	医療スタッフは昼夜を問わず働いた。	Suffering a serious injury is a psychological blow as much as a physical one for any professional athlete. The recovery process involves months of grueling physiotherapy and mental conditioning. Returning to the pitch requires patience and the support of the medical staff.	Suffering a serious injury / is a psychological blow / as much as a physical one / for any professional athlete. / The recovery process / involves / months of grueling physiotherapy / and mental conditioning. / Returning to the pitch / requires / patience / and the support / of the medical staff.	Suffering a serious injury / is a psychological blow / as much as a physical one / for any professional athlete. 深刻な怪我を負うことは、プロのアスリートにとって身体的な打撃であると同時に、心理的な打撃でもあります。  The recovery process / involves / months of grueling physiotherapy / and mental conditioning. 回復プロセスには、数ヶ月にわたる過酷な理学療法とメンタルコンディショニングが含まれます。  Returning to the pitch / requires / patience / and the support / of the medical staff. ピッチに戻るには、忍耐と医療スタッフのサポートが必要です。
Football	Post-match Analysis	victory	勝利	/ˈvɪk.tər.i/	名詞	The team celebrated their victory.	チームは勝利を祝った。	footage	映像	/ˈfʊt.ɪdʒ/	名詞	The police reviewed the security footage.	警察は監視カメラの映像を確認した。	identify	特定する	/aɪˈden.tɪ.faɪ/	動詞	Can you identify the man in the photo?	写真の男が誰か分かりますか？	tactical errors	戦術的なミス	/ˈtæk.tɪ.kəl ˈer.ərz/	名詞	They lost the game due to tactical errors.	彼らは戦術的なミスのために試合に負けた。	positioning	位置取り	/pəˈzɪʃ.ən.ɪŋ/	名詞	Good positioning is essential for a defender.	ディフェンダーにとって良い位置取りは不可欠だ。	legendary	伝説的な	/ˈledʒ.ən.dri/	形容詞	He is a legendary jazz musician.	彼は伝説的なジャズミュージシャンだ。	Even after a victory, top managers spend hours reviewing game footage to identify tactical errors. Analyzing player positioning and ball possession helps in preparing for the next opponent. Constant improvement is the difference between a good team and a legendary one.	Even after a victory, / top managers / spend hours / reviewing game footage / to identify tactical errors. / Analyzing / player positioning / and ball possession / helps in preparing / for the next opponent. / Constant improvement / is the difference / between a good team / and a legendary one.	Even after a victory, / top managers / spend hours / reviewing game footage / to identify tactical errors. 勝利の後でさえ、トップマネージャーは何時間もかけて試合映像を見直し、戦術的なミスを特定します。  Analyzing / player positioning / and ball possession / helps in preparing / for the next opponent. 選手のポジショニングやボール支配率を分析することは、次の対戦相手への準備に役立ちます。  Constant improvement / is the difference / between a good team / and a legendary one. 絶え間ない改善こそが、良いチームと伝説的なチームの差なのです。
Football	Fan Engagement	passion	情熱	/ˈpæʃ.ən/	名詞	She has a passion for classical music.	彼女はクラシック音楽に情熱を持っている。	increasingly	ますます	/ɪnˈkriː.sɪŋ.li/	副詞	The world is becoming increasingly digital.	世界はますますデジタル化している。	behind-the-scenes	舞台裏の	/bəˈhaɪnd.ðə.siːnz/	形容詞	This video shows a behind-the-scenes look.	この動画は舞台裏の様子を見せてくれる。	boost	高める、後押し	/buːst/	名詞/動詞	The new law will give a boost to the economy.	新しい法律は経済を後押しするだろう。	away matches	アウェイの試合	/əˈweɪ ˈmætʃ.ɪz/	名詞	It's often harder to win away matches.	アウェイの試合で勝つのはしばしばより困難だ。	supporters	支持者、ファン	/səˈpɔː.tərz/	名詞	Thousands of supporters attended the rally.	数千人の支持者が集会に参加した。	Football is nothing without its fans, whose passion and energy drive the atmosphere in the stadium. Clubs are increasingly using social media to give fans a "behind-the-scenes" look at their favorite players' lives. Loyal supporters provide a huge boost, especially during difficult away matches.	Football / is nothing / without its fans, / whose passion and energy / drive the atmosphere / in the stadium. / Clubs / are increasingly using / social media / to give fans / a "behind-the-scenes" look / at their favorite players' lives. / Loyal supporters / provide a huge boost, / especially during / difficult away matches.	Football / is nothing / without its fans, / whose passion and energy / drive the atmosphere / in the stadium. サッカーは、その情熱とエネルギーでスタジアムの雰囲気を動かすファンがいなければ成り立ちません。  Clubs / are increasingly using / social media / to give fans / a "behind-the-scenes" look / at their favorite players' lives. クラブは、お気に入りの選手の生活の「舞台裏」をファンに見せるために、ますますソーシャルメディアを活用しています。  Loyal supporters / provide a huge boost, / especially during / difficult away matches. 忠実なサポーターは、特に困難なアウェー試合において大きな後押しとなります。
Football	Tactical Flexibility	switch	切り替える	/swɪtʃ/	動詞	You can switch between apps easily.	アプリを簡単に切り替えることができる。	formations	陣形、フォーメーション	/fɔːˈmeɪ.ʃənz/	名詞	The dancers moved into different formations.	ダンサーたちは異なるフォーメーションに移動した。	depending on	〜に応じて	/dɪˈpen.dɪŋ ɒn/	句	The price varies depending on the size.	価格はサイズに応じて異なる。	versatile	多才な、多目的の	/ˈvɜː.sə.taɪl/	形容詞	This tool is very versatile and useful.	この道具は非常に多用途で便利だ。	multiple	複数の	/ˈmʌl.tɪ.pl̩/	形容詞	She has lived in multiple countries.	彼女は複数の国に住んだことがある。	philosophy	哲学、理念	/fɪˈlɒs.ə.fi/	名詞	My philosophy is to stay positive.	私の理念は前向きでいることだ。	Modern football requires teams to be able to switch formations during a game depending on the scoreline. Players must be versatile enough to play multiple roles, such as a wing-back moving into a central midfield position. Understanding the coach's tactical philosophy is essential.	Modern football / requires teams / to be able to switch / formations / during a game / depending on the scoreline. / Players / must be versatile enough / to play multiple roles, / such as a wing-back / moving into / a central midfield position. / Understanding / the coach's tactical philosophy / is essential.	Modern football / requires teams / to be able to switch / formations / during a game / depending on the scoreline. 現代のサッカーでは、スコア状況に応じて試合中にフォーメーションを切り替えられることがチームに求められます。  Players / must be versatile enough / to play multiple roles, / such as a wing-back / moving into / a central midfield position. 選手は、ウイングバックがセントラルミッドフィルダーの位置に移動するように、複数の役割をこなせるほど多才でなければなりません。  Understanding / the coach's tactical philosophy / is essential. コーチの戦術的哲学を理解することが不可欠です。
Football	Transfer Window	chaotic	混沌とした	/keɪˈɒt.ɪk/	形容詞	The airport was chaotic during the holidays.	連休中の空港は混沌としていた。	scramble	先を争う、奪い合う	/ˈskræm.bl̩/	動詞	People scrambled for the last tickets.	人々は最後のチケットを奪い合った。	squads	分隊、チーム	/skwɒdz/	名詞	Both squads are ready for the match.	両チームとも試合の準備ができている。	distract	気を散らす	/dɪˈstrækt/	動詞	Noise can distract you from your work.	騒音は仕事の邪魔になる（気を散らす）。	negotiating	交渉すること	/nəˈɡəʊ.ʃi.eɪ.tɪŋ/	動名詞	Negotiating a salary is always difficult.	給与交渉は常に難しい。	around the clock	24時間休みなく	/əˈraʊnd ðə klɒk/	句	The rescue team worked around the clock.	救助隊は24時間体制で働いた。	The transfer window is a chaotic period where clubs scramble to strengthen their squads before the deadline. Rumors in the media can often distract players from their performance on the pitch. Negotiating contracts involves agents, lawyers, and club directors working around the clock.	The transfer window / is a chaotic period / where clubs scramble / to strengthen their squads / before the deadline. / Rumors / in the media / can often distract / players / from their performance / on the pitch. / Negotiating contracts / involves / agents, lawyers, and club directors / working around the clock.	The transfer window / is a chaotic period / where clubs scramble / to strengthen their squads / before the deadline. 移籍期間は、締め切り前にクラブが戦力を強化しようと奔走する混沌とした時期です。  Rumors / in the media / can often distract / players / from their performance / on the pitch. メディアの噂は、しばしば選手のピッチ上でのパフォーマンスから注意をそらしてしまいます。  Negotiating contracts / involves / agents, lawyers, and club directors / working around the clock. 契約交渉には、代理人、弁護士、クラブのディレクターが昼夜を問わず働くことが含まれます。
