No.	theme	key words and phrases_1	meaning of the words and phrases_1	phonetic symbol_1	part of speech_1	example sentence_1	japanese of example sentence_1	key words and phrases_2	meaning of the words and phrases_2	phonetic symbol_2	part of speech_2	example sentence_2	japanese of example sentence_2	key words and phrases_3	meaning of the words and phrases_3	phonetic symbol_3	part of speech_3	example sentence_3	japanese of example sentence_3	key words and phrases_4	meaning of the words and phrases_4	phonetic symbol_4	part of speech_4	example sentence_4	japanese of example sentence_4	key words and phrases_5	meaning of the words and phrases_5	phonetic symbol_5	part of speech_5	example sentence_5	japanese of example sentence_5	key words and phrases_6	meaning of the words and phrases_6	phonetic symbol_6	part of speech_6	example sentence_6	japanese of example sentence_6	article	with slash	japanese
Football	Youth Academy	talent	才能	/ˈtæl.ənt/	名詞	She has a natural talent for singing.	彼女には歌の天性の才能がある。	sustainable	持続可能な	/səˈsteɪ.nə.bl̩/	形容詞	We need to find sustainable energy sources.	持続可能なエネルギー源を見つける必要がある。	superstars	スーパースター	/ˈsuː.pə.stɑːrz/	名詞	The movie features several Hollywood superstars.	その映画には数人のハリウッドスターが出演している。	homegrown	地元育ちの、自家製の	/ˌhəʊmˈɡrəʊn/	形容詞	We should support homegrown businesses.	地元のビジネスを支援すべきだ。	debut	デビュー	/ˈdeɪ.bju/	名詞/動詞	He made his professional debut last year.	彼は昨年プロデビューを果たした。	proud moment	誇らしい瞬間	/praʊd ˈməʊ.mənt/	句	Winning the award was a proud moment.	受賞は誇らしい瞬間だった。	Developing talent through a youth academy is often more sustainable than buying expensive superstars. Young players are taught not only technical skills but also the values and traditions of the club. Seeing a local "homegrown" player debut for the first team is a proud moment.	Developing talent / through a youth academy / is often more sustainable / than buying expensive superstars. / Young players / are taught / not only technical skills / but also the values and traditions / of the club. / Seeing / a local "homegrown" player / debut / for the first team / is a proud moment.	Developing talent / through a youth academy / is often more sustainable / than buying expensive superstars. ユースアカデミーを通じて才能を育成することは、高価なスーパースターを購入することよりも持続可能であることが多いです。  Young players / are taught / not only technical skills / but also the values and traditions / of the club. 若い選手たちは、技術的なスキルだけでなく、クラブの価値観や伝統も教えられます。  Seeing / a local "homegrown" player / debut / for the first team / is a proud moment. 地元の「生え抜き」選手がトップチームでデビューするのを見るのは、誇らしい瞬間です。
Football	Referee Pressure	split-second	一瞬の、とっさの	/ˌsplɪtˈsek.ənd/	形容詞	He had to make a split-second decision.	彼は一瞬の判断を下さなければならなかった。	immense	莫大な、巨大な	/ɪˈmens/	形容詞	They are under immense pressure to win.	彼らは勝たなければならないという莫大なプレッシャーの下にいる。	scrutinized	綿密に調査される	/ˈskruː.tɪ.naɪzd/	動詞（過去分詞）	Every detail of the plan was scrutinized.	計画のあらゆる細部が綿密に調査された。	layer	層	/ˈleɪ.ər/	名詞	The cake has three layers of cream.	そのケーキには3層のクリームがある。	authority	権威	/ɔːˈθɒr.ə.ti/	名詞	She speaks with great authority on the subject.	彼女はその主題について大きな権威を持って話す。	fair	公正な	/feər/	形容詞	The judge gave a fair decision.	裁判官は公正な判断を下した。	Referees have to make split-second decisions under immense pressure from players, managers, and thousands of fans. With the introduction of VAR, every decision is scrutinized in slow motion, adding another layer of stress. Maintaining authority while being fair is a difficult balance.	Referees / have to make / split-second decisions / under immense pressure / from players, managers, / and thousands of fans. / With the introduction of VAR, / every decision / is scrutinized / in slow motion, / adding another layer of stress. / Maintaining authority / while being fair / is a difficult balance.	Referees / have to make / split-second decisions / under immense pressure / from players, managers, / and thousands of fans. 審判は、選手、監督、そして何千人ものファンからの巨大なプレッシャーの下で、瞬時の判断を下さなければなりません。  With the introduction of VAR, / every decision / is scrutinized / in slow motion, / adding another layer of stress. VARの導入により、すべての判定がスローモーションで精査されるようになり、さらなるストレスが加わっています。  Maintaining authority / while being fair / is a difficult balance. 公平でありながら権威を維持することは、難しいバランスです。
Football	Nutrition and Diet	peak performance	最高のパフォーマンス	/piːk pəˈfɔː.məns/	名詞	Training helps athletes reach peak performance.	トレーニングは選手が最高の力を発揮するのを助ける。	tailored to	〜に合わせられた	/ˈteɪ.lərd tuː/	句	The course is tailored to beginners' needs.	そのコースは初心者のニーズに合わせて作られている。	intake	摂取（量）	/ˈɪn.teɪk/	名詞	You should reduce your sugar intake.	糖分の摂取量を減らすべきだ。	recovery	回復	/rɪˈkʌv.ər.i/	名詞	I wish you a speedy recovery.	早い回復をお祈りします。	hydration	水分補給	/haɪˈdreɪ.ʃən/	名詞	Hydration is vital during a marathon.	マラソン中の水分補給は極めて重要だ。	monitored	監視される	/ˈmɒn.ɪ.tərd/	動詞（過去分詞）	The patient's heart rate is monitored.	患者の心拍数は監視されている。	To maintain peak performance, footballers follow strict nutritional plans tailored to their body composition. This includes a high intake of carbohydrates for energy before games and protein for muscle recovery afterwards. Hydration levels are also monitored daily by sports scientists.	To maintain / peak performance, / footballers follow / strict nutritional plans / tailored to / their body composition. / This includes / a high intake of carbohydrates / for energy / before games / and protein / for muscle recovery afterwards. / Hydration levels / are also monitored / daily / by sports scientists.	To maintain / peak performance, / footballers follow / strict nutritional plans / tailored to / their body composition. 最高のパフォーマンスを維持するために、サッカー選手は体組成に合わせた厳格な栄養計画に従っています。  This includes / a high intake of carbohydrates / for energy / before games / and protein / for muscle recovery afterwards. これには、試合前のエネルギー源としての炭水化物の多量摂取や、その後の筋肉回復のためのタンパク質が含まれます。  Hydration levels / are also monitored / daily / by sports scientists. 水分補給のレベルも、スポーツ科学者によって毎日監視されています。
Football	Mental Toughness	mental strength	精神的な強さ	/ˈmentl streŋθ/	名詞	Marathon runners need a lot of mental strength.	マラソンランナーには多大な精神力が必要だ。	defined by	〜によって定義される	/dɪˈfaɪnd baɪ/	句	Success is not just defined by money.	成功は単にお金だけで定義されるものではない。	world-class	世界レベルの	/ˌwɜːldˈklɑːs/	形容詞	The city has many world-class museums.	その街には多くの世界レベルの美術館がある。	standard	標準の、標準的な	/ˈstæn.dəd/	形容詞	The car comes with standard safety features.	その車には標準的な安全機能がついている。	backroom staff	裏方スタッフ	/ˈbækrʊm stɑːf/	名詞	The backroom staff work hard behind the scenes.	裏方スタッフが舞台裏で熱心に働いている。	exhausted	疲れ果てた	/ɪɡˈzɔː.stɪd/	形容詞	I was exhausted after the long flight.	長時間のフライトの後で疲れ果てていた。	Winning a game is often decided by the "mental strength" of the players during the final ten minutes. Staying calm under pressure and following the tactical plan even when exhausted is what defines world-class athletes. Mental coaches are now a standard part of most backroom staffs.	Winning a game / is often decided / by the "mental strength" / of the players / during the final ten minutes. / Staying calm / under pressure / and following the tactical plan / even when exhausted / is what defines / world-class athletes. / Mental coaches / are now / a standard part / of most backroom staffs.	Winning a game / is often decided / by the "mental strength" / of the players / during the final ten minutes. 試合の勝敗は、最後の10分間における選手の「精神的な強さ」によって決まることがよくあります。  Staying calm / under pressure / and following the tactical plan / even when exhausted / is what defines / world-class athletes. プレッシャーの下で冷静さを保ち、疲弊していても戦術プランに従うことが、ワールドクラスのアスリートを定義するものです。  Mental coaches / are now / a standard part / of most backroom staffs. メンタルコーチは、今やほとんどの裏方スタッフの標準的な一部となっています。
Technology	Artificial Intelligence	futuristic	未来的な	/ˌfjuː.tʃəˈrɪs.tɪk/	形容詞	The building has a futuristic design.	その建物は未来的なデザインをしている。	integrated	統合された、組み込まれた	/ˈɪn.tɪ.ɡreɪ.tɪd/	形容詞	The new software is integrated into the system.	新しいソフトはシステムに統合されている。	efficiency	効率	/ɪˈfɪʃ.ən.si/	名詞	We must improve the energy efficiency.	私たちはエネルギー効率を改善しなければならない。	ethical	倫理的な	/ˈeθ.ɪ.kəl/	形容詞	The company is known for its ethical practices.	その会社は倫理的な慣行で知られている。	displacement	取って代わること、置換	/dɪˈspleɪs.mənt/	名詞	AI may cause job displacement in some industries.	AIは一部の産業で職を奪う可能性がある。	collaborate	協力する	/kəˈlæb.ə.reɪt/	動詞	Researchers collaborate on the project.	研究者たちはプロジェクトで協力している。	AI is no longer a futuristic concept; it is already integrated into our daily lives through voice assistants and recommendation engines. While it offers incredible efficiency, there are ongoing debates about ethical use and job displacement. Understanding how to collaborate with AI will be a vital skill.	AI / is no longer / a futuristic concept; / it is already integrated / into our daily lives / through voice assistants / and recommendation engines. / While it offers / incredible efficiency, / there are ongoing debates / about ethical use / and job displacement. / Understanding / how to collaborate with AI / will be a vital skill.	AI / is no longer / a futuristic concept; / it is already integrated / into our daily lives / through voice assistants / and recommendation engines. AIはもはや未来の概念ではありません。音声アシスタントや推奨エンジンを通じて、すでに私たちの日常生活に統合されています。  While it offers / incredible efficiency, / there are ongoing debates / about ethical use / and job displacement. 驚異的な効率性を提供する一方で、倫理的な使用や雇用の代替についての議論が続いています。  Understanding / how to collaborate with AI / will be a vital skill. AIとどのように協力するかを理解することは、不可欠なスキルとなるでしょう。
Technology	Cyber Security	data breaches	データ漏洩	/ˈdeɪ.tə briːtʃ.ɪz/	名詞	Recent data breaches leaked personal info.	最近のデータ漏洩で個人情報が流出した。	identity theft	なりすまし、身元盗用	/aɪˈden.tə.ti θeft/	名詞	Identity theft is a growing concern online.	なりすましはオンラインで増大している懸念だ。	authentication	認証	/ɔːˌθen.tɪˈkeɪ.ʃən/	名詞	Use two-factor authentication for better security.	より良い安全のために二段階認証を使いなさい。	investing	投資すること	/ɪnˈvestɪŋ/	動名詞	Investing in technology is necessary.	テクノロジーへの投資は必要だ。	infrastructure	基盤、インフラ	/ˈɪn.frəˌstrʌk.tʃər/	名詞	The city needs to improve its infrastructure.	その街はインフラを改善する必要がある。	essential steps	不可欠な手順	/ɪˈsen.ʃl steps/	名詞	Planning is an essential step for success.	計画は成功のための不可欠なステップだ。	As we move more of our lives online, the risk of data breaches and identity theft continues to rise. Using strong, unique passwords and enabling two-factor authentication are basic but essential steps for protection. Companies are investing billions to secure their cloud infrastructures.	As we move / more of our lives / online, / the risk of data breaches / and identity theft / continues to rise. / Using strong, unique passwords / and enabling two-factor authentication / are basic / but essential steps / for protection. / Companies / are investing billions / to secure / their cloud infrastructures.	As we move / more of our lives / online, / the risk of data breaches / and identity theft / continues to rise. 私たちが生活のより多くをオンラインに移行させるにつれ、データ漏洩やなりすましのリスクは上昇し続けています。  Using strong, unique passwords / and enabling two-factor authentication / are basic / but essential steps / for protection. 強力で独自のパスワードを使用し、二段階認証を有効にすることは、保護のための基本的かつ不可欠なステップです。  Companies / are investing billions / to secure / their cloud infrastructures. 企業はクラウド・インフラストラクチャを保護するために、何十億ドルも投資しています。
Technology	Augmented Reality	augmented reality	拡張現実	/ɔːɡˌmentɪd riˈæləti/	名詞	Augmented reality adds digital images to reality.	拡張現実は現実をデジタル画像で補強する。	elements	要素	/ˈel.ɪ.mənts/	名詞	Success has many different elements.	成功には多くの異なる要素がある。	surgery	手術	/ˈsɜː.dʒər.i/	名詞	He is undergoing surgery on his knee.	彼は膝の手術を受けている。	interact	相互に作用する、交流する	/ˌɪn.təˈrækt/	動詞	Children need to interact with others.	子供たちは他者と交流する必要がある。	surroundings	環境、周囲の状況	/səˈraʊn.dɪŋz/	名詞	She quickly became used to her new surroundings.	彼女はすぐに新しい環境に慣れた。	potential	潜在能力、可能性	/pəˈten.ʃəl/	名詞/形容詞	This new technology has great potential.	この新技術には大きな可能性がある。	Unlike Virtual Reality, which creates a totally new environment, Augmented Reality (AR) adds digital elements to the real world. This technology is being used in everything from mobile games to remote surgery and furniture shopping. AR has the potential to change how we interact with our surroundings.	Unlike Virtual Reality, / which creates / a totally new environment, / Augmented Reality (AR) / adds / digital elements / to the real world. / This technology / is being used / in everything / from mobile games / to remote surgery / and furniture shopping. / AR / has the potential / to change / how we interact / with our surroundings.	Unlike Virtual Reality, / which creates / a totally new environment, / Augmented Reality (AR) / adds / digital elements / to the real world. 完全に新しい環境を作り出すバーチャルリアリティ（VR）とは異なり、拡張現実（AR）は現実世界にデジタル要素を加えます。  This technology / is being used / in everything / from mobile games / to remote surgery / and furniture shopping. この技術は、モバイルゲームから遠隔手術、家具の買い物まで、あらゆるものに使用されています。  AR / has the potential / to change / how we interact / with our surroundings. ARは、私たちが周囲の環境とどのように関わるかを変える可能性を秘めています。
Technology	Space Exploration	agencies	機関、代理店	/ˈeɪ.dʒən.siz/	名詞	Government agencies are working together.	政府機関が協力して働いている。	accessible	利用可能な、近づきやすい	/əkˈses.ə.bl̩/	形容詞	The website is accessible to everyone.	そのサイトは誰でも利用できる。	affordable	手頃な価格の	/əˈfɔː.də.bl̩/	形容詞	We are looking for an affordable apartment.	私たちは手頃な価格のアパートを探している。	colonizing	植民地化すること	/ˈkɒl.ə.naɪ.zɪŋ/	動名詞	People dream of colonizing other planets.	人々は他の惑星に移住することを夢見ている。	reusable	再利用可能な	/ˌriːˈjuː.zə.bl̩/	形容詞	Bring your own reusable shopping bags.	自分の再利用可能な買い物袋を持参しなさい。	satellites	人工衛星	/ˈsæt.əl.aɪts/	名詞	Satellites provide weather data to Earth.	人工衛星は地球に気象データを提供する。	Private companies are now competing with national agencies to make space travel more accessible and affordable. The goal of colonizing Mars is being discussed seriously for the first time in human history. Reusable rockets have significantly lowered the cost of launching satellites.	Private companies / are now competing / with national agencies / to make / space travel / more accessible and affordable. / The goal / of colonizing Mars / is being discussed / seriously / for the first time / in human history. / Reusable rockets / have significantly lowered / the cost / of launching satellites.	Private companies / are now competing / with national agencies / to make / space travel / more accessible and affordable. 民間企業は今、宇宙旅行をより身近で手頃なものにするために、国家機関と競い合っています。  The goal / of colonizing Mars / is being discussed / seriously / for the first time / in human history. 火星への移住という目標が、人類史上初めて真剣に議論されています。  Reusable rockets / have significantly lowered / the cost / of launching satellites. 再利用可能なロケットは、衛星打ち上げのコストを大幅に下げました。
Technology	Renewable Energy Tech	innovations	革新、新機軸	/ˌɪn.əˈveɪ.ʃənz/	名詞	Technological innovations change our lives.	技術革新は私たちの生活を変える。	accelerating	加速させている	/əkˈsel.ə.reɪ.tɪŋ/	動詞（現在分詞）	The internet is accelerating global trade.	インターネットは世界貿易を加速させている。	transition	移行、移り変わり	/trænˈzɪʃ.ən/	名詞	The country is in transition to democracy.	その国は民主主義への移行期にある。	distribute	分配する、配電する	/dɪˈstrɪb.juːt/	動詞	The organization distributes food to the poor.	その組織は貧しい人々に食べ物を分配する。	predicting	予測すること	/prɪˈdɪktɪŋ/	動名詞	Predicting the weather is not easy.	天気を予測することは容易ではない。	global warming	地球温暖化	/ˌɡləʊ.bəl ˈwɔː.mɪŋ/	名詞	Global warming is a threat to the world.	地球温暖化は世界への脅威だ。	Innovations in battery storage and solar panel efficiency are accelerating the world's transition to green energy. Smart grids can now distribute electricity more effectively by predicting demand using big data. Technology is our most powerful tool in the fight against global warming.	Innovations / in battery storage / and solar panel efficiency / are accelerating / the world's transition / to green energy. / Smart grids / can now distribute / electricity / more effectively / by predicting demand / using big data. / Technology / is our most powerful tool / in the fight / against global warming.	Innovations / in battery storage / and solar panel efficiency / are accelerating / the world's transition / to green energy. 電池の蓄電能力やソーラーパネルの効率における革新が、世界のクリーンエネルギーへの移行を加速させています。  Smart grids / can now distribute / electricity / more effectively / by predicting demand / using big data. スマートグリッドは今や、ビッグデータを用いて需要を予測することで、より効果的に電力を分配することができます。  Technology / is our most powerful tool / in the fight / against global warming. テクノロジーは、地球温暖化との戦いにおける私たちの最も強力なツールです。
Technology	The Metaverse	envisioned	構想された、心に描かれた	/ɪnˈvɪʒ.ənd/	動詞（過去形）	The architect envisioned a glass building.	建築家はガラス張りの建物を構想した。	collective	集団的な、共通の	/kəˈlek.tɪv/	形容詞	We made a collective decision.	私たちは共同で決断を下した。	immersive	没入型の	/ɪˈmɜː.sɪv/	形容詞	Video games are becoming more immersive.	ビデオゲームはより没入型になっている。	isolation	孤立	/ˌaɪ.səlˈeɪ.ʃən/	名詞	Social isolation is a problem for the elderly.	社会的孤立は高齢者にとって問題だ。	virtual space	仮想空間	/ˈvɜː.tʃu.əl speɪs/	名詞	We can meet friends in virtual space.	仮想空間で友人に会うことができる。	avatars	アバター、分身	/ˈæv.ə.tɑːrz/	名詞	You can customize your avatars in the game.	ゲーム内で自分のアバターをカスタマイズできる。	The Metaverse is envisioned as a collective virtual space where people can work, play, and socialize using 3D avatars. It aims to create a more "immersive" internet experience than current 2D social media platforms. However, concerns about privacy and social isolation remain high.	The Metaverse / is envisioned / as a collective virtual space / where people can work, play, and socialize / using 3D avatars. / It aims / to create / a more "immersive" internet experience / than current 2D social media platforms. / However, / concerns / about privacy and social isolation / remain high.	The Metaverse / is envisioned / as a collective virtual space / where people can work, play, and socialize / using 3D avatars. メタバースは、3Dアバターを使って人々が働き、遊び、交流できる集合的な仮想空間として構想されています。  It aims / to create / a more "immersive" internet experience / than current 2D social media platforms. それは、現在の2Dのソーシャルメディアプラットフォームよりも、さらに「没入型」のインターネット体験を作り出すことを目指しています。  However, / concerns / about privacy and social isolation / remain high. しかし、プライバシーや社会的孤立に関する懸念は依然として高いままです。
Technology	Blockchain Basics	decentralized	分散型の	/diːˈsen.trə.laɪzd/	形容詞	The company has a decentralized management.	その会社は分散型の経営を行っている。	transparency	透明性	/trænsˈpær.ən.si/	名詞	Government transparency is very important.	政府の透明性は非常に重要だ。	cryptocurrencies	暗号資産、仮想通貨	/ˌkrɪp.təʊˈkʌr.ən.siz/	名詞	Many people invest in cryptocurrencies.	多くの人が暗号資産に投資している。	supply chain	サプライチェーン、供給網	/səˈplaɪ tʃeɪn/	名詞	The earthquake disrupted the supply chain.	地震がサプライチェーンを混乱させた。	trustless	信頼を必要としない	/ˈtrʌst.ləs/	形容詞	Blockchain offers a trustless way to trade.	ブロックチェーンは第三者の信頼を介さない取引方法を提供する。	applications	応用、適用	/ˌæp.lɪˈkeɪ.ʃənz/	名詞	This technology has many medical applications.	この技術には多くの医療への応用がある。	Blockchain is a decentralized ledger technology that ensures transparency and security without the need for a central authority. While it is most famous for powering cryptocurrencies, it also has applications in supply chain tracking and digital voting. It’s about "trustless" verification.	Blockchain / is a decentralized ledger technology / that ensures / transparency and security / without the need / for a central authority. / While it is most famous / for powering cryptocurrencies, / it also has applications / in supply chain tracking / and digital voting. / It’s about "trustless" verification.	Blockchain / is a decentralized ledger technology / that ensures / transparency and security / without the need / for a central authority. ブロックチェーンは、中央当局を必要とせずに透明性とセキュリティを確保する分散型台帳技術です。  While it is most famous / for powering cryptocurrencies, / it also has applications / in supply chain tracking / and digital voting. 暗号資産を動かすことで最も有名ですが、サプライチェーンの追跡やデジタル投票にも応用されています。  It’s about "trustless" verification. それは「トラストレス（信頼不要）」な検証に関するものなのです。
Technology	Ethical Hacking	ethical hackers	善意のハッカー	/ˈeθ.ɪ.kəl ˈhæk.ərz/	名詞	Ethical hackers help protect company data.	ホワイトハッカーは会社のデータ保護を助ける。	vulnerabilities	脆弱性	/ˌvʌl.nər.əˈbɪl.ə.tiz/	名詞	The update fixes several vulnerabilities.	その更新はいくつかの脆弱性を修正する。	hired	雇われた	/ˈhaɪərd/	動詞（過去分詞）	He was hired as a security expert.	彼はセキュリティ専門家として雇われた。	malicious	悪意のある	/məˈlɪʃ.əs/	形容詞	Be careful of malicious software.	悪意のあるソフトウェアに注意しなさい。	skilled	熟練した	/skɪld/	形容詞	She is a highly skilled programmer.	彼女は非常に熟練したプログラマーだ。	profession	職業	/prəˈfeʃ.ən/	名詞	Teaching is a noble profession.	教師は高潔な職業だ。	Ethical hackers, also known as "white hat" hackers, are hired by companies to find vulnerabilities in their systems before criminals do. They use the same techniques as malicious hackers but for the purpose of improving security. It is a highly skilled and increasingly important profession.	Ethical hackers, / also known as / "white hat" hackers, / are hired by companies / to find vulnerabilities / in their systems / before criminals do. / They use / the same techniques / as malicious hackers / but for the purpose / of improving security. / It is a highly skilled / and increasingly important profession.	Ethical hackers, / also known as / "white hat" hackers, / are hired by companies / to find vulnerabilities / in their systems / before criminals do. 「ホワイトハット」ハッカーとしても知られるエシカルハッカーは、犯罪者よりも先にシステムの脆弱性を見つけるために企業に雇われます。  They use / the same techniques / as malicious hackers / but for the purpose / of improving security. 彼らは悪意のあるハッカーと同じ技術を使いますが、それはセキュリティを向上させるという目的のためです。  It is a highly skilled / and increasingly important profession. それは高度なスキルを要し、ますます重要性が高まっている職業です。
Technology	Wearable Devices	sophisticated	精巧な、洗練された	/səˈfɪs.tɪ.keɪ.tɪd/	形容詞	The watch has a sophisticated sensor.	その時計には精巧なセンサーがついている。	monitoring	監視すること	/ˈmɒn.ɪ.tər.ɪŋ/	動名詞	Monitoring heart rate is easy with a watch.	時計を使えば心拍数の監視は簡単だ。	proactive	先を見越した、積極的な	/ˌprəʊˈæk.tɪv/	形容詞	We need to take a proactive approach.	私たちは先を見越したアプローチをとる必要がある。	proactive approach	積極的なアプローチ	/ˌprəʊˈæk.tɪv əˈprəʊtʃ/	句	The company took a proactive approach to security.	会社はセキュリティに対して積極的な姿勢をとった。	generation	世代	/ˌdʒen.əˈreɪ.ʃən/	名詞	The younger generation uses social media daily.	若い世代は毎日SNSを使っている。	potential issues	潜在的な問題	/pəˈten.ʃl ˈɪʃuːz/	名詞	We must solve potential issues early.	潜在的な問題は早めに解決しなければならない。	Smartwatches and fitness trackers are becoming increasingly sophisticated, capable of monitoring heart rhythm and blood oxygen levels. This data allows users to take a proactive approach to their health and catch potential issues early. The next generation may include "smart clothing."	Smartwatches / and fitness trackers / are becoming / increasingly sophisticated, / capable of monitoring / heart rhythm / and blood oxygen levels. / This data / allows users / to take / a proactive approach / to their health / and catch potential issues early. / The next generation / may include / "smart clothing."	Smartwatches / and fitness trackers / are becoming / increasingly sophisticated, / capable of monitoring / heart rhythm / and blood oxygen levels. スマートウォッチやフィットネストラッカーはますます精巧になり、心拍リズムや血中酸素レベルを監視できるようになっています。  This data / allows users / to take / a proactive approach / to their health / and catch potential issues early. このデータにより、ユーザーは自分の健康に対して積極的にアプローチし、潜在的な問題を早期に発見することができます。  The next generation / may include / "smart clothing." 次世代には「スマートクロージング（スマート衣類）」が含まれるかもしれません。
Technology	Smart Cities	IoT sensors	IoTセンサー	/aɪ.əʊ.ti ˈsen.sərz/	名詞	IoT sensors collect data from the streets.	IoTセンサーが街路からデータを収集する。	analytics	分析（論）	/ˌæn.əlˈɪt.ɪks/	名詞	Data analytics can improve business strategy.	データ分析はビジネス戦略を改善できる。	consumption	消費（量）	/kənˈsʌmp.ʃən/	名詞	We need to reduce energy consumption.	私たちはエネルギー消費を減らす必要がある。	urban living	都市生活	/ˈɜː.bən ˈlɪv.ɪŋ/	名詞	Urban living can be very convenient.	都市生活は非常に便利なことがある。	streetlights	街灯	/ˈstriːt.laɪts/	名詞	The streetlights turn on automatically.	街灯は自動的に点灯する。	efficient	効率的な	/ɪˈfɪʃ.ənt/	形容詞	The new engine is very fuel-efficient.	新しいエンジンは非常に燃費が良い。	Smart cities use IoT sensors and data analytics to manage traffic, reduce energy consumption, and improve public safety. For example, streetlights that only turn on when someone is nearby can save a lot of electricity. The goal is to make urban living more efficient and sustainable.	Smart cities / use / IoT sensors and data analytics / to manage traffic, / reduce energy consumption, / and improve public safety. / For example, / streetlights / that only turn on / when someone is nearby / can save a lot of electricity. / The goal / is to make / urban living / more efficient and sustainable.	Smart cities / use / IoT sensors and data analytics / to manage traffic, / reduce energy consumption, / and improve public safety. スマートシティは、交通管理、エネルギー消費の削減、および公共安全の向上のために、IoTセンサーとデータ分析を使用します。  For example, / streetlights / that only turn on / when someone is nearby / can save a lot of electricity. 例えば、誰かが近くにいる時だけ点灯する街灯は、多くの電力を節約できます。  The goal / is to make / urban living / more efficient and sustainable. 目標は、都市生活をより効率的で持続可能なものにすることです。